diasuransikan	di @@asuransi @@kan
dicuci	di @@cuci
dihilangkan	di @@hilang @@kan
didirikan	di @@diri @@kan
menggigitku	men @@gigit @@ku
komando	komando
mengotori	men @@kotor @@i
seru	seru
mendongkrak	men @@dongkrak
airnya	air @@nya
dibuka	di @@buka
berjauhan	ber @@jauh @@an
maret	maret
penasihat	penasihat
diuruskan	di @@urus @@kan
menyuntikkan	men @@suntik @@kan
tercurah	ter @@curah
memveto	men @@veto
rekanan	rekan @@an
pedih	pedih
mengintai	men @@intai
cahaya	cahaya
tahap	tahap
dermawan	derma @@wan
menghubungkan	men @@hubung @@kan
reka	reka
ditimpa	di @@timpa
pasca	pasca
abu	abu
belgia	belgia
pembiayaan	pen @@biaya @@an
paksaan	paksa @@an
imanmu	iman @@mu
mencerminkan	men @@cermin @@kan
penjembatanan	pen @@jembatan @@an
cangkul	cangkul
utara	utara
diluluskan	di @@lulus @@kan
diupah	di @@upah
mempertanggungjawabkannya	men @@tanggungjawab @@kan @@nya
dirancang	di @@rancang
menaklukkan	men @@takluk @@kan
penghulu	pen @@hulu
katamu	kata @@mu
jualan	jual @@an
memeriksakan	men @@periksa @@kan
automotif	automotif
rangkap	rangkap
senapan	senapan
tersaji	ter @@saji
daftar	daftar
ikat	ikat
mendasar	men @@dasar
unggas	unggas
implementasinya	implementasi @@nya
berakar	ber @@akar
diprakarsai	di @@prakarsa @@i
komplikasi	komplikasi
artis	artis
prosedur	prosedur
pembaruan	pen @@baru @@an
mencondongkan	men @@condong @@kan
sumbangannya	sumbang @@an @@nya
meneladani	men @@teladan @@i
pergaulan	per @@gaul @@an
taninya	tani @@nya
terhambatnya	ter @@hambat @@nya
tertua	ter @@tua
terkenal	ter @@kenal
mei	mei
pembobolan	pen @@bobol @@an
berfungsi	ber @@fungsi
selepas	se @@lepas
berkampanye	ber @@kampanye
klasifikasi	klasifikasi
memproteksi	men @@proteksi
mengudara	men @@udara
belikan	beli @@kan
pejabat	pejabat
mengumpat	men @@umpat
komposisi	komposisi
pemenuhannya	pen @@penuh @@an @@nya
lunturnya	luntur @@nya
dunianya	dunia @@nya
mengantri	men @@antri
menimbun	men @@timbun
pencabutan	pen @@cabut @@an
penguasaan	pen @@kuasa @@an
memikulnya	men @@pikul @@nya
melangkah	men @@langkah
pengubah	pen @@ubah
membenahi	men @@benah @@i
melarang	men @@larang
ragukan	ragu @@kan
kutub	kutub
israel	israel
diversifikasi	diversifikasi
produsen	produsen
penggaduhan	pen @@gaduh @@an
separuhnya	se @@paruh @@nya
dieksekusi	di @@eksekusi
investor	investor
meninggikan	men @@tinggi @@kan
licin	licin
sesamanya	se @@sama @@nya
mengikuti	men @@ikut @@i
jarinya	jari @@nya
subjektivitasnya	subjektivitas @@nya
retribusinya	retribusi @@nya
mendeskripsikan	men @@deskripsi @@kan
komplain	komplain
memikirkannya	men @@pikir @@kan @@nya
mengamatinya	men @@amati @@nya
pengucuran	pen @@kucur @@an
pembebasan	pen @@bebas @@an
nasabahnya	nasabah @@nya
renovasinya	renovasi @@nya
turis	turis
terbantahkan	ter @@bantah @@kan
dibawanya	di @@bawa @@nya
militernya	militer @@nya
dikurangi	di @@kurang @@i
asuh	asuh
pariwisata	pariwisata
mengisolasi	men @@isolasi
mempercayakan	men @@percaya @@kan
kebobolan	ke @@bobol @@an
dikembalikannya	di @@kembali @@kan @@nya
dibohongi	di @@bohong @@i
diskualifikasi	diskualifikasi
mengatakan	men @@kata @@kan
mendambakan	men @@damba @@kan
mendaratkannya	men @@darat @@kan @@nya
penyiapan	pen @@siap @@an
terulang	ter @@ulang
paskah	paskah
menagih	men @@tagih
membungkam	men @@bungkam
mengalirkan	men @@alir @@kan
penggembalaan	pen @@gembala @@an
zaitun	zaitun
perdesaan	per @@desa @@an
mendatanginya	men @@datang @@i @@nya
menabrakkannya	men @@tabrak @@kan @@nya
reuni	reuni
perbuatan	per @@buat @@an
bertanda	ber @@tanda
beradik	ber @@adik
kusebut	ku @@sebut
dipikirkan	di @@pikir @@kan
wc	wc
timbulnya	timbul @@nya
arahnya	arah @@nya
mengintimidasi	men @@intimidasi
coraknya	corak @@nya
mengambilnya	men @@ambil @@nya
jangka	jangka
spontan	spontan
komplek	komplek
lalui	lalu @@i
pengurusan	pen @@urus @@an
serangan	serang @@an
terlipat	ter @@lipat
uluran	ulur @@an
terhisap	ter @@hisap
gengsi	gengsi
diperingatkan	di @@per @@ingat @@kan
peninjau	pen @@tinjau
dilelang	di @@lelang
memantulkan	men @@pantul @@kan
mandi	mandi
pemetaan	pen @@peta @@an
tubuhku	tubuh @@ku
dipenjarakan	di @@penjara @@kan
semeriah	se @@meriah
ujar	ujar
menegosiasikan	men @@negosiasi @@kan
persoalannya	per @@soal @@an @@nya
membungkamkan	men @@bungkam @@kan
mengosongkan	men @@kosong @@kan
berkenan	ber @@kenan
bidangnya	bidang @@nya
bulat	bulat
sekolahan	sekolah @@an
terkini	terkini
anaknya	anak @@nya
sosialnya	sosial @@nya
kakiku	kaki @@ku
dibangkitkan	di @@bangkit @@kan
terdaftar	ter @@daftar
meninggalkan	men @@tinggal @@kan
sisa	sisa
manfaat	manfaat
menuduh	men @@tuduh
contoh	contoh
struktur	struktur
bantuannya	bantu @@an @@nya
menyembuhkannya	men @@sembuh @@kan @@nya
juli	juli
kamarnya	kamar @@nya
gelas	gelas
depanmu	depan @@mu
listriknya	listrik @@nya
guna	guna
terindikasi	ter @@indikasi
telepon	telepon
ahlinya	ahli @@nya
nyaris	nyaris
anggrek	anggrek
top	top
allah	allah
bungsu	bungsu
rekapitulasi	rekapitulasi
sopan	sopan
penyalurannya	pen @@salur @@an @@nya
dicengkeram	di @@cengkeram
merosotnya	merosot @@nya
gilanya	gila @@nya
diadakan	di @@ada @@kan
diperlukan	di @@perlu @@kan
diganti	di @@ganti
konstitusional	konstitusional
niatan	niat @@an
pembuatan	pen @@buat @@an
tontonan	tonton @@an
mengkoordinasikan	men @@koordinasi @@kan
belanjakan	belanja @@kan
penghasilannya	pen @@hasil @@an @@nya
perayaan	pen @@raya @@an
diutarakan	di @@utara @@kan
minggu	minggu
seperangkat	se @@perangkat
berkeinginan	ber @@ke @@ingin @@an
tebusan	tebus @@an
padi	padi
memberikannya	men @@beri @@kan @@nya
memproyeksikan	men @@proyeksi @@kan
perhutanan	per @@hutan @@an
ulah	ulah
dicerna	di @@cerna
menyembur	men @@sembur
putrinya	putri @@nya
menyinergikan	men @@sinergi @@kan
denpasar	denpasar
dipisah	di @@pisah
mengorbankan	men @@korban @@kan
berkebalikan	ber @@ke @@balik @@an
terekspresikan	ter @@ekspresi @@kan
koper	koper
mengarungi	men @@karung @@i
memperbaharui	men @@baharu @@i
menyusahkan	men @@susah @@kan
memprediksi	men @@prediksi
liberalisasi	liberalisasi
bahagia	bahagia
sorenya	sore @@nya
sendirian	sendiri @@an
diprioritaskan	di @@prioritas @@kan
mencakup	men @@cakup
antarkeluarga	antar @@keluarga
menimbang	men @@timbang
proyeksi	proyeksi
dibina	di @@bina
kendaraannya	kendara @@an @@nya
berbobot	ber @@bobot
dinginnya	dingin @@nya
mengesankan	men @@kesan @@kan
membujuknya	men @@bujuk @@nya
melamar	men @@lamar
bersamaan	ber @@sama @@an
menugaskan	men @@tugas @@kan
lampu	lampu
antrinya	antri @@nya
bertindak	ber @@tindak
akuntabilitas	akuntabilitas
penuntutan	pen @@tuntut @@an
penyerbuan	pen @@serbu @@an
mengusulkan	men @@usul @@kan
kampung	kampung
rasul	rasul
disurvei	di @@survei
menengah	men @@tengah
menyobek	men @@sobek
aktifnya	aktif @@nya
kandungmu	kandung @@mu
mengapit	men @@apit
minoritas	minoritas
dibiaya	di @@biaya
tengah	tengah
menggiring	men @@giring
sentimeter	sentimeter
capaiannya	capai @@an @@nya
selebar	se @@lebar
makhluk	makhluk
pinjaman	pinjam @@an
mediasi	mediasi
terpetakan	ter @@peta @@kan
merpati	merpati
interaksi	interaksi
rujukan	rujuk @@an
diprovokasi	di @@provokasi
melenceng	men @@lenceng
mirip	mirip
nafsumu	nafsu @@mu
memeluk	men @@peluk
tragis	tragis
damaskus	damaskus
menugasi	men @@tugas @@i
dagangnya	dagang @@nya
melunasi	men @@lunas @@i
siang	siang
kalangan	kalangan
dibesarkan	di @@besar @@kan
meletusnya	men @@letus @@nya
penyegaran	pen @@segar @@an
unta	unta
ditabur	di @@tabur
walikota	walikota
penebal	pen @@tebal
menandakan	men @@tanda @@kan
menyeberanginya	men @@seberang @@i @@nya
lipat	lipat
membedakan	men @@beda @@kan
nasabah	nasabah
diadili	di @@adil @@i
rancu	rancu
penindasan	pen @@tindas @@an
membentang	men @@bentang
stakeholder	stakeholder
terlama	ter @@lama
pemilih	pen @@pilih
dikombinasikan	di @@kombinasi @@kan
sumatra	sumatra
tempel	tempel
depannya	depan @@nya
adam	adam
ongkosnya	ongkos @@nya
ras	ras
diumpankan	di @@umpan @@kan
penumpang	pen @@tumpang
pemegang	pen @@pegang
melampaui	men @@lampau @@i
eksperimen	eksperimen
bergizi	ber @@gizi
mempertimbangkan	men @@timbang @@kan
mencairnya	men @@cair @@nya
pasta	pasta
andal	andal
kamis	kamis
menelusuri	men @@telusuri
dokternya	dokter @@nya
penalaran	pen @@nalar @@an
lisan	lisan
percaya	percaya
nonperdagangan	non @@per @@dagang @@an
lapang	lapang
imbas	imbas
sangkakala	sangkakala
menguduskan	men @@kudus @@kan
komedi	komedi
teralihkan	ter @@alih @@kan
reputasinya	reputasi @@nya
kemarin	kemarin
berkekuatan	ber @@ke @@kuat @@an
menceraikan	men @@cerai @@kan
pembedaan	pen @@beda @@an
tambahan	tambah @@an
penelaahan	pen @@telaah @@an
berjangka	ber @@jangka
anti	anti
kendalikan	kendali @@kan
selasa	selasa
hamparan	hampar @@an
membagi	men @@bagi
dakwaan	dakwa @@an
tercoreng	ter @@coreng
bau	bau
persembahan	per @@sembah @@an
waspada	waspada
memahaminya	men @@paham @@i @@nya
menyingkirkan	men @@singkir @@kan
muara	muara
menyamakan	men @@sama @@kan
urusanku	urus @@an @@ku
pameran	pamer @@an
bola	bola
didukungnya	di @@dukung @@nya
dilihat	di @@lihat
puskesmas	puskesmas
dikabulkan	di @@kabul @@kan
rupa	rupa
saksi	saksi
sempitnya	sempit @@nya
penengah	pen @@tengah
dinikahinya	di @@nikah @@i @@nya
diperbuat	di @@per @@buat
terkuno	ter @@kuno
berbisnis	ber @@bisnis
rutin	rutin
akurasinya	akurasi @@nya
pendanaan	pen @@dana @@an
selektif	selektif
membuatmu	men @@buat @@mu
bermacam	ber @@macam
diambil	di @@ambil
menaikan	men @@tai @@kan
menggantinya	men @@ganti @@nya
berwawasan	ber @@wawasan
dijawab	di @@jawab
mengguncang	men @@guncang
motonya	moto @@nya
terompetnya	terompet @@nya
relaksasi	relaksasi
ratapan	ratap @@an
seharga	se @@harga
lawan	lawan
disumbangkan	di @@sumbang @@kan
kenakan	kena @@kan
integritas	integritas
haus	haus
pembuangan	pen @@buang @@an
menumpasnya	men @@tumpas @@nya
terparah	ter @@parah
pesta	pesta
perbatasan	per @@batas @@an
perhimpunan	per @@himpun @@an
ketidaksuksesan	ke @@tidak @@sukses @@an
efektivitas	efektivitas
diwakilkan	di @@wakil @@kan
dicocokkan	di @@cocok @@kan
disebut	di @@sebut
setahun	se @@tahun
balau	balau
penyusunannya	pen @@susun @@an @@nya
terbaru	ter @@baru
tersendat	tersendat
membunuh	men @@bunuh
menghimbau	men @@himbau
menuliskannya	men @@tulis @@kan @@nya
pembekuan	pen @@beku @@an
malaikat	malaikat
menonton	men @@tonton
meluruskan	men @@lurus @@kan
salib	salib
mendistribusikannya	men @@distribusi @@kan @@nya
internet	internet
penanganan	pen @@tangan @@an
konvensional	konvensional
sumbangan	sumbang @@an
privasi	privasi
menyuguhkan	men @@suguh @@kan
sektarian	sektarian
mendorongnya	men @@dorong @@nya
merubah	men @@rubah
dituakan	di @@tua @@kan
nonpenerima	non @@pen @@terima
navigasi	navigasi
mengaktifkannya	men @@aktif @@kan @@nya
ubah	ubah
berkecukupan	ber @@ke @@cukup @@an
langkanya	langka @@nya
meratifikasi	men @@ratifikasi
merebut	men @@rebut
asa	asa
menahannya	men @@tahan @@nya
berbahan	ber @@bah @@an
dipesan	di @@pesan
pintas	pintas
betul	betul
tabah	tabah
diverifikasinya	di @@verifikasi @@nya
kotor	kotor
dijajaki	di @@jajak @@i
penyemprotan	pen @@semprot @@an
dijumpainya	di @@jumpa @@i @@nya
pendelegasian	pen @@delegasi @@an
pendiam	pen @@diam
kagumi	kagum @@i
kritikan	kritik @@an
bulu	bulu
gagang	gagang
didiktekan	di @@dikte @@kan
melanjutkannya	men @@lanjut @@kan @@nya
diperdagangkan	di @@per @@dagang @@kan
hemat	hemat
meletihkan	men @@letih @@kan
klorofilnya	klorofil @@nya
mewujudkannya	men @@wujud @@kan @@nya
memudarkan	men @@pudar @@kan
bersihkan	bersih @@kan
prosesi	proses @@i
terseleksi	ter @@seleksi
membengkokkan	men @@bengkok @@kan
simpanan	simpan @@an
terbebani	ter @@beban @@i
demonstrasi	demonstrasi
pengkajian	pen @@kaji @@an
antikemiskinan	anti @@ke @@miskin @@an
dimensi	dimensi
dikompromikan	di @@kompromi @@kan
deretan	deret @@an
berlatih	ber @@latih
hobi	hobi
partisipasi	partisipasi
permulaan	per @@mula @@an
rendahkan	rendah @@kan
blok	blok
mengakhirinya	men @@akhir @@i @@nya
gawat	gawat
disadari	di @@sadar @@i
antarkeyakinan	antar @@ke @@yakin @@an
mencampur	men @@campur
disusunnya	di @@susun @@nya
disisi	di @@sisi
didorong	di @@dorong
wanita	wanita
naikkan	naik @@kan
tipu	tipu
bea	bea
mempersempit	men @@sempit
diupayakan	di @@upaya @@kan
dipersentasekan	di @@persentase @@kan
pelanggaran	pen @@langgar @@an
dalih	dalih
laut	laut
penerbang	pen @@terbang
penghibur	pen @@hibur
patuh	patuh
ditekuninya	di @@tekun @@i @@nya
stok	stok
dikendarainya	di @@kendara @@i @@nya
menua	men @@tua
kapasitasnya	kapasitas @@nya
melukai	men @@luka @@i
kutempatkan	ku @@tempat @@kan
mengiring	men @@iring
bertetanggaan	ber @@tetangga @@an
efisiennya	efisien @@nya
mendesak	men @@desak
programnya	program @@nya
menghapus	men @@hapus
mengharuskan	men @@harus @@kan
skeptis	skeptis
seenaknya	se @@enak @@nya
tepat	tepat
eksternal	eksternal
jiwaku	jiwa @@aku
suntik	suntik
rohani	rohani
menghamparkan	men @@hampar @@kan
penyesalan	pen @@sesal @@an
konflik	konflik
fosil	fosil
sertifikat	sertifikat
tunjangan	tunjang @@an
ditangan	di @@tangan
melatih	men @@latih
apresiasi	apresiasi
disembelih	di @@sembelih
musikal	musikal
swedia	swedia
diagnostik	diagnostik
hasrat	hasrat
berpulang	ber @@pulang
tol	tol
berotot	ber @@otot
spanyol	spanyol
tenaga	tenaga
keping	keping
dihalangi	di @@halang @@i
berpisah	ber @@pisah
yakinkan	yakin @@kan
debutnya	debut @@nya
langsing	langsing
penyelidikan	pen @@selidik @@an
antarpemangku	antar @@pen @@pangku
diperbolehkan	di @@per @@boleh @@kan
perhambaan	per @@hamba @@an
andil	andil
ledakan	ledak @@an
kreativitas	kreativitas
memuliakan	men @@mulia @@kan
pencatat	pen @@catat
kapas	kapas
tergali	ter @@gali
kandangmu	kandang @@mu
dijamin	di @@jamin
congkak	congkak
sukacitamu	sukacita @@mu
persetujuannya	per @@setuju @@an @@nya
celana	celana
wali	wali
terformulasi	ter @@formulasi
barunya	baru @@nya
abaikan	abai @@kan
kunyah	kunyah
pendiri	pen @@diri
santri	santri
dihadapkan	di @@hadap @@kan
cicilan	cicil @@an
terletak	ter @@letak
diistilahkan	di @@istilah @@kan
seimannya	se @@iman @@nya
saing	saing
patokan	patok @@an
penuhi	penuh @@i
berkendaraan	ber @@kendara @@an
optimalisasi	optimalisasi
memaksakan	men @@paksa @@kan
keguguran	ke @@gugur @@an
mencoreng	men @@coreng
genetik	genetik
tarik	tarik
memerlukan	men @@perlu @@kan
publikasi	publikasi
mendelegasikan	men @@delegasi @@kan
menggantikannya	men @@ganti @@kan @@nya
sawahnya	sawah @@nya
diwarisinya	di @@waris @@i @@nya
pengalokasian	pen @@alokasi @@an
sampul	sampul
menuangkan	men @@tuang @@kan
peritel	pen @@ritel
jamuan	jamu @@an
memperlebar	men @@lebar
dikemas	di @@kemas
mendesentralisasikannya	men @@desentralisasi @@kan @@nya
mengidentifikasi	men @@identifikasi
united	united
penerima	pen @@terima
prasarananya	prasarana @@nya
silang	silang
mudah	mudah
periang	pen @@riang
zona	zona
tanamnya	tanam @@nya
steril	steril
saingan	saing @@an
agungnya	agung @@nya
prevalensinya	prevalensi @@nya
menko	menko
diketahuinya	di @@ketahui @@nya
gampang	gampang
bisnis	bisnis
aduannya	adu @@an @@nya
diharap	di @@harap
yahudi	yahudi
dipedulikan	di @@peduli @@kan
memperparah	men @@parah
seumpama	se @@umpama
benaknya	benak @@nya
februari	februari
penentu	pen @@tentu
dicerminkan	di @@cermin @@kan
tari	tari
lain	lain
sebenarnya	se @@benar @@nya
dipukuli	di @@pukul @@i
hormat	hormat
planet	planet
ketidakpatuhan	ke @@tidak @@patuh @@an
panahnya	panah @@nya
duga	duga
mensahkan	men @@sah @@kan
melatarbelakanginya	men @@latarbelakang @@i @@nya
pembuat	pen @@buat
pendisiplinan	pen @@disiplin @@an
punglinya	pungli @@nya
zakat	zakat
digali	di @@gali
kusut	kusut
berargumen	ber @@argumen
dukungannya	dukung @@an @@nya
repot	repot
sebaliknya	sebaliknya
menempati	men @@tempat @@i
capai	capai
tabungannya	tabung @@an @@nya
intimidasi	intimidasi
memperjuangkan	men @@juang @@kan
pekerjaannya	pekerja @@an @@nya
cela	cela
atraksi	atraksi
diunggah	di @@unggah
jembatan	jembatan
diterbangkan	di @@terbang @@kan
bagiannya	bagi @@an @@nya
sapu	sapu
penyulingan	pen @@suling @@an
pengambilannya	pen @@ambil @@an @@nya
jumlah	jumlah
perikanannya	per @@ikan @@an @@nya
mentri	mentri
pencantuman	pen @@cantum @@an
berjenjang	ber @@jenjang
mengadministrasikan	men @@administrasi @@kan
menggali	men @@gali
imam	imam
akurasi	akurasi
ilegal	ilegal
dibelenggu	di @@belenggu
persamaan	per @@sama @@an
pendalaman	pen @@dalam @@an
operasionalnya	operasional @@nya
nonpertaniannya	non @@per @@tani @@an @@nya
pembentukan	pen @@bentuk @@an
stempelnya	stempel @@nya
mengurut	men @@urut
berhiaskan	ber @@hias @@kan
sinerginya	sinergi @@nya
menyelamatkannya	men @@selamat @@kan @@nya
lunak	lunak
klub	klub
pertanahan	per @@tanah @@an
pengolah	pen @@olah
beda	beda
kurun	kurun
mengejarnya	men @@kejar @@nya
bekas	bekas
terjerumus	ter @@jerumus
dicanangkannya	di @@canang @@kan @@nya
syaraf	syaraf
menancapkan	men @@tancap @@kan
susunan	susun @@an
rate	rate
pengintegrasian	pen @@integrasi @@an
firman	firman
indikasi	indikasi
diimunisasi	di @@imunisasi
bertekun	ber @@tekun
kejatuhannya	ke @@jatuh @@an @@nya
memasuki	men @@masuk @@i
kekeliruan	ke @@keliru @@an
bertalian	ber @@tali @@an
eksekusinya	eksekusi @@nya
tragedi	tragedi
kadarnya	kadar @@nya
menggugat	men @@gugat
berputar	ber @@putar
pejabatnya	pejabat @@nya
debitur	debitur
mengkaji	men @@kaji
mengacu	men @@acu
nonkonsumsi	non @@konsumsi
berkat	berkat
berbahasa	ber @@bahasa
mengenyahkan	men @@enyah @@kan
menuju	men @@tuju
ucapkan	ucap @@kan
modalnya	modal @@nya
penyaringan	pen @@saring @@an
radiasi	radiasi
mengamankan	men @@aman @@kan
tertancap	ter @@tancap
diukir	di @@ukir
terbesar	ter @@besar
sengketa	sengketa
menepi	men @@tepi
memurnikan	men @@murni @@kan
menawan	men @@tawan
migrasi	migrasi
cemerlang	cemerlang
dipakai	di @@pakai
merapi	men @@rapi
kutuju	ku @@tuju
pernikahan	per @@nikah @@an
berhadapan	ber @@hadap @@an
menghormati	men @@hormat @@i
ditemani	di @@teman @@i
gunung	gunung
memfotokopi	men @@fotokopi
sekadar	se @@kadar
diperkenan	di @@per @@kenan
galeri	galeri
diternakkan	di @@ternak @@kan
tepi	tepi
tempuhnya	tempuh @@nya
klip	klip
tercapainya	ter @@capai @@nya
terjerat	ter @@jerat
kehadiran	ke @@hadir @@an
dipikat	di @@pikat
guncangan	guncang @@an
dipasarkan	di @@pasar @@kan
kudengar	ku @@dengar
merenungkannya	men @@renung @@kan @@nya
verifikasinya	verifikasi @@nya
iri	iri
disusun	di @@susun
membiarkan	men @@biar @@kan
bekerja	bekerja
konsep	konsep
menjengkelkan	men @@jengkel @@kan
pencoretan	pen @@coret @@an
pembahasannya	pen @@bahas @@an @@nya
menerkam	men @@terkam
menyimak	men @@simak
tersirat	ter @@sirat
pemberkatan	pen @@berkat @@an
saleh	saleh
pendaftaran	pen @@daftar @@an
bobrok	bobrok
berhala	berhala
dirintis	di @@rintis
mengalihkan	men @@alih @@kan
membacakan	men @@baca @@kan
setujui	setuju @@i
uap	uap
menyoroti	men @@sorot @@i
minimum	minimum
bersoal	ber @@soal
menganiaya	men @@aniaya
kekal	kekal
pita	pita
antarlembaga	antar @@lembaga
dikucilkan	di @@kucil @@kan
khusus	khusus
ditolong	di @@tolong
membanggakan	men @@bangga @@kan
koreksi	koreksi
bercocok	ber @@cocok
menghancurkan	men @@hancur @@kan
ukur	ukur
berfikir	ber @@fikir
menara	menara
mengolahnya	men @@olah @@nya
dek	dek
kritis	kritis
berlalu	ber @@lalu
berkomunikasi	ber @@komunikasi
diperhadapkan	di @@per @@hadap @@kan
lokal	lokal
pelanggar	pen @@langgar
melebihkan	men @@lebih @@kan
huruf	huruf
terguncangkan	ter @@guncang @@kan
dipermainkan	di @@per @@main @@kan
perangkat	perangkat
peralihan	per @@alih @@an
sebidang	se @@bidang
dipaparkan	di @@papar @@kan
alamnya	alam @@nya
menggapai	men @@gapai
penyayang	pen @@sayang
duplikasi	duplikasi
goreng	goreng
perbedaannya	per @@beda @@an @@nya
pengguliran	pen @@gulir @@an
panel	panel
optimalnya	optimal @@nya
tamu	tamu
konser	konser
terpajangnya	ter @@pajang @@nya
digaji	di @@gaji
telanjang	telanjang
petunjuk	petunjuk
bebas	bebas
tertib	tertib
bosnya	bos @@nya
tumbuhan	tumbuh @@an
soal	soal
sebut	sebut
kumuh	kumuh
dibagi	di @@bagi
substansinya	substansi @@nya
mengikutkan	men @@ikut @@kan
takluk	takluk
pelataran	pen @@latar @@an
menunggang	men @@tunggang
lucunya	lucu @@nya
anugerah	anugerah
jahitan	jahit @@an
didistribusikan	di @@distribusi @@kan
perantara	perantara
buruh	buruh
lapaknya	lapak @@nya
menindaklanjuti	men @@tindaklanjut @@i
diinvestasikan	di @@investasi @@kan
korupsinya	korupsi @@nya
menekuni	men @@tekun @@i
suriah	suriah
kereta	kereta
perkoperasian	per @@koperasi @@an
kartun	kartun
kosong	kosong
berobat	ber @@obat
matahari	matahari
menginterupsi	men @@interupsi
didialogkan	di @@dialog @@kan
teleskop	teleskop
pentingnya	penting @@nya
penderitaan	pen @@derita @@an
diatur	di @@atur
jiwanya	jiwa @@nya
lingkaran	lingkar @@an
tersimpan	ter @@simpan
beranak	ber @@anak
guntingan	gunting @@an
menjala	men @@jala
diusulkan	di @@usul @@kan
antardaerah	antar @@daerah
penyempurnaan	pen @@sempurna @@an
tuturnya	tutur @@nya
membersihkan	men @@bersih @@kan
pamannya	paman @@nya
filipina	filipina
berlawanan	ber @@lawan @@an
favoritnya	favorit @@nya
rencananya	rencana @@nya
camat	camat
merepotkan	men @@repot @@kan
jariku	jari @@ku
allahku	allah @@ku
digabungkan	di @@gabung @@kan
penggagasnya	pen @@gagas @@nya
coba	coba
tertidur	ter @@tidur
mengedarkan	men @@edar @@kan
astronot	astronot
mengusahakan	men @@usaha @@kan
dipelihara	di @@pelihara
teragung	ter @@agung
obsesi	obsesi
data	data
rindu	rindu
benarnya	benar @@nya
tercemar	ter @@cemar
pembedahan	pen @@bedah @@an
terkoordinasi	ter @@koordinasi
