menguraikan	men urai kan
ketidaksetaraan	ke tidak setara an
mendakwa	men dakwa
pemeta	pen peta
jalar	jalar
prosedur	prosedur
mempromosikan	men promosi kan
menyiasatinya	men siasat i nya
diciptakannya	di cipta kan nya
melanggarnya	men langgar nya
kawannya	kawan nya
dibunuh	di bunuh
diangkat	di angkat
komersialnya	komersial nya
penyelesaiannya	pen selesai an nya
pelapor	pen lapor
busuknya	busuk nya
mendekati	men dekat i
bercocok	ber cocok
diadopsi	di adopsi
armada	armada
menyiapkan	men siap kan
tikar	tikar
diukir	di ukir
pemogokan	pen mogok an
dilacak	di lacak
united	united
almamaternya	almamater nya
percetakan	per cetak an
uang	uang
perbincangan	per bincang an
berupaya	ber upaya
memasang	men pasang
institusinya	institusi nya
pemburu	pen buru
dahsyat	dahsyat
kesehariannya	keseharian nya
etis	etis
ubah	ubah
kemunduran	ke mundur an
doaku	doa aku
masai	masa i
sebisa	se bisa
petani	petani
mengutus	men utus
direvisi	di revisi
perpisahan	per pisah an
antarkeluarga	antar keluarga
diperlukan	di perlu kan
ajaib	ajaib
sangkut	sangkut
menjaganya	men jaga nya
minimum	minimum
teroris	teroris
pendekatannya	pen dekat an nya
terpolusi	ter polusi
olokan	olok an
saljumu	salju mu
berwilayah	ber wilayah
pemenuhan	pen penuh an
keseharian	keseharian
melemahnya	men lemah nya
penyembah	pen sembah
sebaik	se baik
reputasi	reputasi
disembelih	di sembelih
hadirnya	hadir nya
waktunya	waktu nya
disenangi	di senang i
pembalasan	pen balas an
pembahas	pen bahas
dikenai	di kena i
menonjolkan	men tonjol kan
kesannya	kesan nya
menyedihkan	men sedih kan
pastikan	pasti kan
perobohan	pen roboh an
eternit	eternit
didaftarkan	di daftar kan
meminimalkan	men minimal kan
statusnya	status nya
sebangsaku	se bangsa aku
kembalikan	kembali kan
kompleksnya	kompleks nya
dinormalkan	di normal kan
pengarah	pen arah
pelataran	pen latar an
dipermainkan	di per main kan
mengisolasi	men isolasi
defisit	defisit
isterinya	isteri nya
dilarang	di larang
lantunan	lantun an
tertawaan	ter tawa an
terjembatani	ter jembatan i
negaranya	negara nya
dikurung	di kurung
salinannya	salin an nya
netral	netral
mematikan	men mati kan
banjir	banjir
kebutuhan	ke butuh an
terakomodasi	ter akomodasi
seporsi	se porsi
penyembahan	pen sembah an
diembankan	di emban kan
menggapai	men gapai
disatukan	di satu kan
ditusuk	di tusuk
dipelihara	di pelihara
diorganisasi	di organisasi
pengepungan	pen kepung an
berprasangka	ber prasangka
bulanannya	bulan an nya
mewawancarainya	men wawancara i nya
orientasi	orientasi
tampaknya	tampak nya
ruang	ruang
cerai	cerai
mahkamah	mahkamah
asal	asal
kutempatkan	ku tempat kan
hatimu	hati mu
pikiranmu	pikir an mu
diterbitkannya	di terbit kan nya
belanjanya	belanja nya
dibentuk	di bentuk
kecilnya	kecil nya
kemukakan	kemuka kan
saji	saji
intelektual	intelektual
menggandakan	men ganda kan
koordinator	koordinator
dikasihi	di kasih i
mengikatnya	men ikat nya
minimalnya	minimal nya
kabarkan	kabar kan
bangunannya	bangun an nya
memperkenankan	men kenan kan
periksa	periksa
akademik	akademik
ketimun	ketimun
antarbidang	antar bidang
terserang	ter serang
meminjam	men pinjam
tengahnya	tengah nya
meraup	men raup
badak	badak
dikonfirmasi	di konfirmasi
sabar	sabar
panggang	panggang
privasinya	privasi nya
remaja	remaja
kampus	kampus
pemeran	pen peran
buntu	buntu
dimasukinya	di masuk i nya
getah	getah
olimpiade	olimpiade
mengeluarkan	men keluar kan
penyeleksian	pen seleksi an
realitas	realitas
terperinci	ter pen rinci
memadainya	memadai nya
fakir	fakir
bakar	bakar
waduk	waduk
mempertegas	men tegas
pemberontak	pen berontak
sumatera	sumatera
kelapanya	kelapa nya
sumbangannya	sumbang an nya
mengurusi	men urus i
datangnya	datang nya
independent	independent
menentukan	men tentu kan
pemangku	pen pangku
bernoda	ber noda
hatinya	hati nya
mengisahkan	men kisah kan
abstrak	abstrak
kualitas	kualitas
kamp	kamp
antargereja	antar gereja
komprehensif	komprehensif
pejabat	pejabat
wibawa	wibawa
dibenahi	di benah i
cerita	cerita
apatis	apatis
memprediksi	men prediksi
berdampaknya	ber dampak nya
wangi	wangi
ceroboh	ceroboh
direktur	direktur
aduannya	adu an nya
sholat	sholat
sisanya	sisa nya
debutnya	debut nya
badannya	badan nya
memerdekakan	men merdeka kan
indahnya	indah nya
tata	tata
umurku	umur ku
durian	duri an
pergantian	per ganti an
mendiskusikan	men diskusi kan
neraka	neraka
kristen	kristen
dibariskan	di baris kan
pesawatnya	pesawat nya
pengalih	pen alih
dipilah	di pilah
berhutang	ber hutang
bersamaku	ber sama aku
mengirimi	men kirim i
prasangka	prasangka
kebungkaman	ke bungkam an
terbitnya	terbit nya
mencintaiku	men cinta i ku
dikorbankan	di korban kan
persoalannya	per soal an nya
terpanggil	ter panggil
seiring	seiring
menggadai	men gadai
pedoman	pedoman
melunasinya	men lunas i nya
pemuji	pen puji
penggerak	pen gerak
pekerjaanku	pekerja an ku
pembebasan	pen bebas an
pinjaman	pinjam an
triwulanannya	triwulan an nya
naiknya	naik nya
dokumen	dokumen
maraton	maraton
terhormat	ter hormat
noda	noda
diikutinya	di ikut i nya
penebusan	pen tebus an
perusahaannya	per usaha an nya
penggantian	pen ganti an
mengkombinasikan	men kombinasi kan
misalnya	misal nya
bersengketa	ber sengketa
bergegas	ber gegas
terpecahkan	ter pecah kan
berpakaian	ber pakai an
selusin	se lusin
konstan	konstan
kalanya	kala nya
melindungi	men lindung i
dikelola	di kelola
urut	urut
pemerintahannya	pen perintah an nya
karyawan	karya wan
skema	skema
penjahat	pen jahat
gereja	gereja
mengelolanya	men kelola nya
menyalurkannya	men salur kan nya
ramping	ramping
didokumentasikan	di dokumentasi kan
disebutnya	di sebut nya
berkeyakinan	ber ke yakin an
dikehendaki	di kehendak i
takuti	takut i
bungkus	bungkus
rate	rate
berkekurangan	ber ke kurang an
akuntabilitas	akuntabilitas
penarikan	pen tarik an
dikemas	di kemas
mencari	men cari
hungaria	hungaria
tema	tema
perairan	per air an
gelora	gelora
mempersembahkan	men sembah kan
mengajarku	men ajar ku
tumbuhnya	tumbuh nya
ayat	ayat
melawannya	men lawan nya
ditinggalkannya	di tinggal kan nya
benua	benua
gayanya	gaya nya
nuraninya	nurani nya
menggembirakan	men gembira kan
habis	habis
tenaga	tenaga
menggalang	men galang
eksekusinya	eksekusi nya
prestise	prestise
skalanya	skala nya
mereproduksinya	men reproduksi nya
dicicil	di cicil
legenda	legenda
olahan	olah an
agroindustri	agroindustri
celaka	celaka
beda	beda
apresiasi	apresiasi
memperbaikinya	men baik i nya
berorang	ber orang
pendesentralisasian	pen desentralisasi an
mengkhususkan	men khusus kan
talentanya	talenta nya
negarawan	negara wan
respons	respons
menampilkan	men tampil kan
interaksi	interaksi
zaman	zaman
tropis	tropis
pengasingan	pen asing an
instruksi	instruksi
proporsinya	proporsi nya
awet	awet
larut	larut
diberatkan	di berat kan
terawat	ter rawat
mengkomunikasikan	men komunikasi kan
aktif	aktif
gugup	gugup
penyayang	pen sayang
mengikutkan	men ikut kan
melintasi	men lintas i
studinya	studi nya
talenta	talenta
terlantar	terlantar
mencatatkan	men catat kan
membiarkan	men biar kan
indikator	indikator
radio	radio
santrinya	santri nya
perbaikan	per baik an
dirjen	dirjen
diredupkan	di redup kan
efisiennya	efisien nya
diasosiasikan	di asosiasi kan
pers	pers
resah	resah
melukainya	men luka i nya
memiliki	men milik i
terpinggir	ter pinggir
sepihak	se pihak
gugat	gugat
tertata	ter tata
berkeramik	ber keramik
loncatan	loncat an
tenaganya	tenaga nya
asteroid	asteroid
lulus	lulus
tetangganya	tetangga nya
kumuhnya	kumuh nya
dukung	dukung
menuruni	men turun i
antarkuota	antar kuota
rumput	rumput
pendampingan	pen damping an
validitas	validitas
mengucap	men ucap
firdaus	firdaus
globalisasi	globalisasi
kuil	kuil
cuma	cuma
penambahan	pen tambah an
sulaman	sulam an
panci	panci
mendesaknya	men desak nya
kaca	kaca
keikutsertaan	ke ikutserta an
penanaman	pen tanam an
pasangannya	pasang an nya
longsor	longsor
hapus	hapus
dipuji	di puji
bahan	bah an
terpaut	ter paut
mengangkatnya	men angkat nya
berpengaruh	ber pengaruh
analisisnya	analisis nya
mengakhiri	men akhir i
peningkatan	pen tingkat an
memberinya	men beri nya
studi	studi
dekat	dekat
mengantri	men antri
ketidakterbukaan	ke tidak terbuka an
penuntutan	pen tuntut an
mencurangi	men curang i
berbincang	ber bincang
penderitaannya	pen derita an nya
menang	menang
bekas	bekas
dikembalikan	di kembali kan
kontroversi	kontroversi
antardaerah	antar daerah
memformatnya	men format nya
ditimbulkan	di timbul kan
katalog	katalog
penakut	pen takut
ambulan	ambulan
distorsi	distorsi
spesialis	spesialis
anehnya	aneh nya
mengumumkan	men umum kan
memperketat	men ketat
terdapat	ter dapat
memarkir	men parkir
bermain	ber main
diucapkan	di ucap kan
mengolah	men olah
waktu	waktu
pembatas	pen batas
penjagaan	pen jaga an
tindakannya	tindak an nya
mengadakan	men ada kan
debiturnya	debitur nya
bermasyarakat	ber masyarakat
pemangkasan	pen pangkas an
cintanya	cinta nya
jiwanya	jiwa nya
mengasari	men kasar i
ibukota	ibukota
pengembaraan	pen kembara an
dicegat	di cegat
jangkauannya	jangkau an nya
pemberantasan	pen berantas an
direndahkan	di rendah kan
memisahkan	men pisah kan
berbahasa	ber bahasa
penutupnya	pen tutup nya
tutur	tutur
provinsi	provinsi
internal	internal
tangkapan	tangkap an
memenuhi	men penuh i
perlintasan	per lintas an
bervariasinya	ber variasi nya
memenangi	men menang i
gizi	gizi
mempertaruhkan	men taruh kan
indikasinya	indikasi nya
menyetorkan	men setor kan
menyinggung	men singgung
mertuanya	mertua nya
internet	internet
kesan	kesan
penjelasan	pen jelas an
renovasinya	renovasi nya
corak	corak
belajar	belajar
diadakannya	di ada kan nya
bersalah	ber salah
terlembagakan	ter lembaga kan
memilihnya	men pilih nya
mencela	men cela
memotret	men potret
pautnya	paut nya
dihilangkan	di hilang kan
berpihak	ber pihak
menunggunya	men tunggu nya
menyebabkannya	men sebab kan nya
memikirkannya	men pikir kan nya
mengedipkan	men kedip kan
mengelompokkannya	men kelompok kan nya
dipimpin	di pimpin
pengusahaan	pen usaha an
lambai	lambai
membidangi	men bidang i
penagih	pen tagih
merekatkan	men rekat kan
menguntungkan	men untung kan
bermaksud	ber maksud
penghormatan	pen hormat an
tunjukkan	tunjuk kan
menahan	men tahan
bertingkat	ber tingkat
ketidaksuburan	ke tidak subur an
memeriksakan	men periksa kan
penelitian	pen teliti an
rasuli	rasul i
sekehendaknya	se kehendak nya
unggulan	unggul an
menyelamatkannya	men selamat kan nya
aparatur	aparatur
memicu	men picu
sendirinya	sendiri nya
peta	peta
mempercayainya	men percaya i nya
dagang	dagang
solusinya	solusi nya
medis	medis
denpasar	denpasar
bedanya	beda nya
dipastikan	di pasti kan
memuat	men muat
metode	metode
pabrik	pabrik
jala	jala
berteriak	ber teriak
kain	kain
utusan	utus an
kami	kami
menyampaikan	men sampai kan
dikoordinasi	di koordinasi
adaptasi	adaptasi
menggelisahkan	men gelisah kan
kupon	kupon
mengarah	men arah
komoditasnya	komoditas nya
duga	duga
perlengkapan	per lengkap an
memekakkan	men pekak kan
perabotan	perabot an
tahan	tahan
lensa	lensa
makamnya	makam nya
mendatangi	men datang i
pendeta	pendeta
menuduh	men tuduh
membahas	men bahas
jajaran	jajar an
penugasan	pen tugas an
terencana	ter rencana
moyang	moyang
mengevaluasi	men evaluasi
relevan	relevan
menyalahi	men salah i
jajak	jajak
perindustrian	per industri an
emosionalnya	emosional nya
penjaja	pen jaja
model	model
menurunkan	men turun kan
mengajarkannya	men ajar kan nya
asalan	asal an
komandannya	komandan nya
kendalikan	kendali kan
meluas	men luas
asramanya	asrama nya
secepatnya	se cepat nya
bingung	bingung
kembali	kembali
tunggal	tunggal
tahunan	tahun an
olahraga	olahraga
baru	baru
alumni	alumni
pendokumentasian	pen dokumentasi an
mengelompokkan	men kelompok kan
bandung	bandung
berputar	ber putar
membaca	men baca
dewan	dewan
sabet	sabet
memilihkan	men pilih kan
eksperimen	eksperimen
tebang	tebang
berfungsi	ber fungsi
peralihan	per alih an
pesatnya	pesat nya
revolusi	revolusi
pengrusakan	pen rusak an
cemas	cemas
dihapuskan	di hapus kan
banyak	banyak
penyemprot	pen semprot
tergusur	ter gusur
gelandang	gelandang
menyingkirkan	men singkir kan
penjabaran	pen jabar an
menyederhanakannya	men sederhana kan nya
lokalnya	lokal nya
mencerminkan	men cermin kan
teguran	tegur an
pelaksanaannya	pen laksana an nya
pasukan	pasukan
sumur	sumur
makanan	makan an
bertalian	ber tali an
memihak	men pihak
perbukitan	per bukit an
minimnya	minim nya
raksasa	raksasa
stempel	stempel
bergurau	ber gurau
mengingkari	men ingkar i
memperbudak	men budak
terstruktur	ter struktur
traktor	traktor
terinformasi	ter informasi
logika	logika
volume	volume
penipu	pen tipu
dilemahkan	di lemah kan
mengesampingkan	men kesamping kan
menggelitik	men gelitik
terheran	ter heran
pendamping	pen damping
lebih	lebih
potret	potret
hargai	harga i
uangnya	uang nya
kekalnya	kekal nya
dijumlahkan	di jumlah kan
cocok	cocok
sayangnya	sayang nya
dicurahkannya	di curah kan nya
memprosesnya	men proses nya
terdiri	ter diri
lipat	lipat
wewenang	wewenang
atmosfir	atmosfir
sulam	sulam
ditumpuk	di tumpuk
rambutmu	rambut mu
desember	desember
kalimat	kalimat
gerbang	gerbang
terseret	ter seret
reproduksi	reproduksi
disisipkan	di sisip kan
pinang	pinang
perhatikan	perhatikan
komitmen	komitmen
ditelan	di telan
berlatih	ber latih
pembibitan	pen bibit an
instalasi	instalasi
pelestarian	pen lestari an
bersepakat	ber sepakat
menindaklanjutinya	men tindaklanjut i nya
sehebat	se hebat
klasik	klasik
pasca	pasca
pengkaji	pen kaji
penurunan	pen turun an
gunting	gunting
mengacu	men acu
memukau	men pukau
menebus	men tebus
dikucilkan	di kucil kan
mengasumsikan	men asumsi kan
memanen	men panen
sebaiknya	se baik nya
terinspirasi	ter inspirasi
mengusulkannya	men usul kan nya
tamu	tamu
tandai	tanda i
bersemangat	ber semangat
adu	adu
tas	tas
deskripsi	deskripsi
ranting	ranting
utang	utang
mengaburkan	men kabur kan
memanjatkan	men panjat kan
kerumunan	kerumun an
biskuit	biskuit
penindakan	pen tindak an
membolehkan	men boleh kan
membelakangi	men belakang i
pergelangan	per gelang an
layang	layang
menuding	men tuding
menggulirkan	men gulir kan
kas	kas
mangsanya	mangsa nya
kreatif	kreatif
umpan	umpan
dirancang	di rancang
angkatan	angkat an
pertambahan	per tambah an
perjamuan	per jamu an
ditayangkan	di tayang kan
penuh	penuh
menggarisbawahi	men garisbawah i
sampah	sampah
membela	men bela
menyelaraskan	men selaras kan
omzetnya	omzet nya
penengah	pen tengah
bantal	bantal
berdomisili	ber domisili
komentar	komentar
perburuan	per buru an
disiarkan	di siar kan
opini	opini
patuh	patuh
radikal	radikal
timbangan	timbang an
dicabut	di cabut
kipas	kipas
tempatmu	tempat mu
mendirikannya	men diri kan nya
berkondisi	ber kondisi
kubur	kubur
opsi	opsi
jutaan	juta an
turki	turki
pengucuran	pen kucur an
kluster	kluster
dimaksimalkan	di maksimal kan
terpasang	ter pasang
bergantung	ber gantung
melengkapi	men lengkap i
pundi	pundi
penyediaan	pen sedia an
teologi	teologi
capaiannya	capai an nya
digandakan	di ganda kan
acuan	acu an
diusulkan	di usul kan
yakinkan	yakin kan
bergumul	ber gumul
menyembur	men sembur
mengalokasikan	men alokasi kan
perampok	pen rampok
menghargai	men harga i
menggagalkan	men gagal kan
bentukan	bentuk an
menggulung	men gulung
bunuh	bunuh
bobrok	bobrok
jasa	jasa
persentase	persentase
april	april
murah	murah
legal	legal
kebangkitan	ke bangkit an
piutang	piutang
tangkai	tangkai
berkeinginan	ber ke ingin an
jatahnya	jatah nya
fungsinya	fungsi nya
disodorkan	di sodor kan
prospek	prospek
pihaknya	pihak nya
sesuainya	sesuai nya
jenis	jenis
pengetahuannya	pengetahuan nya
berobatnya	ber obat nya
merebut	men rebut
melebur	men lebur
pedihnya	pedih nya
jantungnya	jantung nya
dihubungi	di hubung i
pembelian	pen beli an
penjembatanan	pen jembatan an
menikahi	men nikah i
kusampaikan	ku sampai kan
berhenti	ber henti
mencicil	men cicil
jelas	jelas
menggenggam	men genggam
dinas	dinas
tua	tua
bekerja	bekerja
pakai	pakai
dalih	dalih
dimakamkan	di makam kan
definisinya	definisi nya
penggunaannya	pen guna an nya
ketidaktaatan	ke tidak taat an
piranti	piranti
pendahulu	pendahulu
perizinan	per izin an
batal	batal
kalifornia	kalifornia
budaya	budaya
dindingnya	dinding nya
ular	ular
asean	asean
dicoret	di coret
digembalakan	di gembala kan
berkarya	ber karya
antardesanya	antar desa nya
logo	logo
saudaramu	saudara mu
terpuruk	ter puruk
melontarkan	men lontar kan
mengkhianati	men khianat i
dialihkan	di alih kan
penggolongan	pen golong an
penguburan	pen kubur an
objek	objek
plastik	plastik
ditabung	di tabung
bertanah	ber tanah
komunitasnya	komunitas nya
senjatanya	senjata nya
diwawancara	di wawancara
lawatan	lawatan
penargetannya	pen target an nya
gali	gali
penghitungan	pen hitung an
kendalanya	kendala nya
bergemar	ber gemar
menanggulanginya	men tanggulang i nya
penggugat	pen gugat
minum	minum
mengabari	men kabar i
etnik	etnik
akibatnya	akibat nya
as	as
operator	operator
meredakan	men reda kan
komite	komite
dihibur	di hibur
hartanya	harta nya
asisten	asisten
ofensif	ofensif
siswa	siswa
tungkunya	tungku nya
kelompoknya	kelompok nya
profil	profil
panggung	panggung
departemen	departemen
disimpulkan	di simpul kan
ditoleransi	di toleransi
penghulu	pen hulu
menaati	men taat i
mengejar	men kejar
pasarnya	pasar nya
raih	raih
martabat	martabat
pemetaan	pen peta an
antarwaktu	antar waktu
berkesimpulan	ber ke simpul an
mampukan	mampu kan
dagangan	dagang an
permusuhan	per musuh an
pengorbanannya	pen korban an nya
antarindustri	antar industri
disalahgunakan	di salahguna kan
seutuhnya	se utuh nya
nomor	nomor
sel	sel
ditulis	di tulis
datang	datang
terkoordinasi	ter koordinasi
pelik	pelik
mencekik	men cekik
rona	rona
puluhan	puluh an
tergolong	ter golong
terpahat	ter pahat
gelas	gelas
pigmen	pigmen
sekolahan	sekolah an
bersenjatakan	ber senjata kan
merumuskan	men rumus kan
ajar	ajar
diagram	diagram
didominasi	di dominasi
menyusul	men susul
omongan	omong an
dipungut	di pungut
hayati	hayat i
ditunda	di tunda
jarangnya	jarang nya
menenun	men tenun
membebani	men beban i
merealisasikannya	men realisasi kan nya
menyeimbangkan	men seimbang kan
belakang	belakang
kupas	kupas
kurungan	kurung an
bernuansa	ber nuansa
tertimpa	ter timpa
kotor	kotor
pemahaman	pen paham an
berlumur	ber lumur
selengkap	se lengkap
busana	busana
pertumbuhannya	per tumbuh an nya
tempuhnya	tempuh nya
dilabuhkan	di labuh kan
dipergunakan	di per guna kan
penuturan	pen tutur an
berhala	berhala
digital	digital
dipandu	di pandu
disapa	di sapa
jadwalku	jadwal ku
lahir	lahir
berpindahnya	ber pindah nya
mesir	mesir
perguliran	per gulir an
deposito	deposito
mempersulit	men sulit
juri	juri
merealisasikan	men realisasi kan
iblis	iblis
aksesnya	akses nya
dipilihkan	di pilih kan
kategorisasi	kategorisasi
turunan	turun an
bersukacita	ber sukacita
dramatis	dramatis
dipajang	di pajang
setapak	se tapak
melonjaknya	men lonjak nya
tepian	tepi an
memaksa	men paksa
ingatannya	ingat an nya
antarpengurus	antar pen urus
bentuknya	bentuk nya
diajak	di ajak
kokpitnya	kokpit nya
disidang	di sidang
belakangmu	belakang mu
bertumpuk	ber tumpuk
subur	subur
dicerminkan	di cermin kan
memikirkan	men pikir kan
mempersingkat	men singkat
awalnya	awal nya
perbelanjaan	per belanja an
simbol	simbol
tangganya	tangga nya
misteri	misteri
warisnya	waris nya
dirinci	di rinci
mendasarkan	men dasar kan
rangkap	rangkap
dibabat	di babat
digabung	di gabung
pipa	pipa
mendapatkannya	men dapat kan nya
mendamaikan	men damai kan
diurut	di urut
terhilang	ter hilang
ditandai	di tanda i
distrik	distrik
cuaca	cuaca
suku	suku
menyelamatkan	men selamat kan
penenun	pen tenun
suratnya	surat nya
realisasi	realisasi
bagiannya	bagi an nya
memindai	men pindai
memandang	men pandang
pengurusan	pen urus an
dikeluarkan	di keluar kan
dihina	di hina
warnanya	warna nya
wiraswasta	wiraswasta
unit	unit
hilangnya	hilang nya
jatah	jatah
penegakan	pen tegak an
melaluinya	men lalu i nya
sintesis	sintesis
sampaikan	sampai kan
fisika	fisika
dilewati	di lewat i
musuhmu	musuh mu
dikoordinir	di koordinir
bermitra	ber mitra
jumlahnya	jumlah nya
menyebrangi	men sebrang i
layanan	layan an
raja	raja
menguburkan	men kubur kan
tanamkan	tanam kan
cadangan	cadang an
sains	sains
perdagangannya	per dagang an nya
melatarbelakanginya	men latarbelakang i nya
kabul	kabul
terinfeksi	ter infeksi
memamerkannya	men pamer kan nya
pendata	pen data
kemunculannya	ke muncul an nya
bergelar	ber gelar
penggemar	pen gemar
menyayangkan	men sayang kan
pertunjukannya	per tunjuk an nya
dokumentasi	dokumentasi
penting	penting
medalinya	medali nya
mengabaikannya	men abai kan nya
rancu	rancu
berasumsi	ber asumsi
mayoritas	mayoritas
tekanan	tekan an
menolaknya	men tolak nya
berbau	ber bau
menyerupai	men serupa i
hiburan	hibur an
disimpulkannya	di simpul kan nya
pangkuannya	pangku an nya
pujian	puji an
hidung	hidung
menumpang	men tumpang
paduan	padu an
bergema	ber gema
keinginan	ke ingin an
pengairan	pen air an
menumpasnya	men tumpas nya
bergunanya	ber guna nya
menamai	men nama i
ditinggal	di tinggal
tidurku	tidur ku
bawang	bawang
mempermudah	men mudah
diberi	di beri
berkawan	ber kawan
perikanan	per ikan an
intim	intim
suruh	suruh
rusaknya	rusak nya
baris	baris
abad	abad
memedihkan	men pedih kan
korban	korban
kuduskan	kudus kan
bergulingan	ber guling an
musium	musium
manis	manis
bocor	bocor
skemanya	skema nya
keledai	keledai
difoto	di foto
pemilik	pen milik
didalamnya	di dalam nya
dikatakan	di kata kan
memajukan	men maju kan
tertolong	ter tolong
kuabaikan	ku abai kan
takutnya	takut nya
gaji	gaji
berjarak	ber jarak
sedarah	se darah
hebatnya	hebat nya
pria	pria
difungsikan	di fungsi kan
pelemparan	pen lempar an
dunianya	dunia nya
ratu	ratu
mekanis	mekanis
pemeriksaan	pen periksa an
menentang	men tentang
rutinitasnya	rutinitas nya
diasingkan	di asing kan
takhta	takhta
web	web
peminat	pen minat
selayaknya	se layak nya
pandu	pandu
diikat	di ikat
mengamankan	men aman kan
tereliminasi	ter eliminasi
pendalaman	pen dalam an
bertekun	ber tekun
tersalib	ter salib
bersaudara	ber saudara
hutan	hutan
terperhatikan	ter perhatikan
purba	purba
pengering	pen kering
bercahaya	ber cahaya
peraga	pen raga
penularan	pen tular an
lunturnya	luntur nya
lucunya	lucu nya
antrinya	antri nya
dicetak	di cetak
ketidakadaan	ke tidak ada an
berkumpul	ber kumpul
termahal	ter mahal
diadili	di adil i
sambungan	sambung an
diwakilkan	di wakil kan
mengejek	men ejek
didenda	di denda
anjurkan	anjur kan
diaplikasikan	di aplikasi kan
lanjuti	lanjut i
lupakan	lupa kan
kabut	kabut
payudara	payudara
melewatkan	men lewat kan
laporan	lapor an
dihasilkan	di hasil kan
kusebut	ku sebut
ditabur	di tabur
habitat	habitat
mil	mil
konsensus	konsensus
memberkati	men berkat i
menetapkan	men tetap kan
ancaman	ancam an
terdidik	ter didik
bervariasi	ber variasi
bersandar	ber sandar
permata	permata
pencukur	pen cukur
pengumuman	pen umum an
ditangkap	di tangkap
terpandang	ter pandang
mengingat	men ingat
menceritakannya	men cerita kan nya
terlupakan	ter lupa kan
penekan	pen tekan
jurnalnya	jurnal nya
menanamkan	men tanam kan
peredaran	per edar an
filipina	filipina
pembeda	pen beda
diincar	di incar
penyuluhan	pen suluh an
penerimaannya	pen terima an nya
hakekat	hakekat
premi	premi
prinsipnya	prinsip nya
memerankan	men peran kan
urusan	urus an
sepeda	sepeda
terberat	ter berat
memperebutkan	men rebut kan
dinasnya	dinas nya
kiriman	kirim an
menyusui	men susu i
babakan	babak an
menyiangi	men siang i
bima	bima
diungkap	di ungkap
berdialog	ber dialog
mendelegasikan	men delegasi kan
mencalonkan	men calon kan
diingatkan	di ingat kan
langganan	langgan an
mengaktifkannya	men aktif kan nya
dilihatnya	di lihat nya
menginspirasi	men inspirasi
diagnosanya	nyagnosa nya
perburuhan	per buruh an
meneliti	men teliti
menghiburnya	men hibur nya
antarpeserta	antar peserta
membuat	men buat
tonggak	tonggak
darahku	darah ku
bebasnya	bebas nya
mengetuk	men ketuk
otak	otak
dianggap	di anggap
korupsi	korupsi
sadar	sadar
nya	nya
antarprogram	antar program
lelah	lelah
kental	kental
ketidakpercayaan	ke tidak percaya an
susulan	susul an
dia	dia
menjadi	men jadi
reka	reka
pemaksaan	pen paksa an
berwawasan	ber wawasan
diletakkan	di letak kan
dipersiapkan	di per siap kan
frekuensinya	frekuensi nya
diperingkat	di peringkat
semeriah	se meriah
penjahit	pen jahit
berharga	ber harga
familinya	famili nya
desanya	desa nya
peti	peti
izin	izin
seksual	seksual
keberangkatannya	ke berangkat an nya
mengoreksi	men koreksi
takjub	takjub
pelibatan	pen libat an
pelabuh	pen labuh
berdiam	ber diam
dihalangi	di halang i
tidur	tidur
berlandaskan	ber landas kan
dikeraskan	di keras kan
kandangmu	kandang mu
pengumpul	pen kumpul
akibat	akibat
mengarsipkan	men arsip kan
teladan	teladan
membombardir	men bombardir
antarinstansi	antar instansi
menopangnya	men topang nya
kutipan	kutip an
dimerdekakan	di merdeka kan
stakeholder	stakeholder
mewariskan	men waris kan
penyebutan	pen sebut an
menghiraukan	men hirau kan
memucat	men pucat
profesionalnya	profesional nya
anti	anti
kerasnya	keras nya
pembentukan	pen bentuk an
posko	posko
nyawaku	nyawa aku
berfungsinya	ber fungsi nya
melecehkan	men leceh kan
penjadwalan	pen jadwal an
sebulan	se bulan
mempunyai	men punya i
dijadikan	di jadi kan
jahit	jahit
disegarkan	di segar kan
pembangunannya	pen bangun an nya
menggelar	men gelar
total	total
alkitabnya	alkitab nya
diledakkan	di ledak kan
tuamu	tua mu
mengutarakan	men utara kan
taiwan	tai wan
pemanfaatnya	pen manfaat nya
berkreasi	ber kreasi
membodohi	men bodoh i
bicaranya	bicara nya
menyesuaikan	men sesuai kan
bergaul	ber gaul
adegan	adegan
penyuluh	pen suluh
penulisan	pen tulis an
tips	tips
membatasinya	men batas i nya
tempel	tempel
pisau	pisau
mawarnya	mawar nya
jeruknya	jeruk nya
pulsa	pulsa
sedihnya	sedih nya
skandal	skandal
praktik	praktik
berorientasi	ber orientasi
disalahkan	di salah kan
terjalin	ter jalin
digenggam	di genggam
penyampaian	pen sampai an
halangan	halang an
mengartikannya	men arti kan nya
bahtera	bahtera
memboikotnya	men boikot nya
seks	seks
pendisiplinan	pen disiplin an
berlalunya	ber lalu nya
menulisnya	men tulis nya
pendirian	pen diri an
pengesahan	pen sah an
menghubungi	men hubung i
damaskus	damaskus
alih	alih
januari	januari
katak	katak
puas	puas
ditanyakan	di tanya kan
berinduk	ber induk
reputasinya	reputasi nya
tujuan	tuju an
menaruhnya	men taruh nya
nonkonsumsi	non konsumsi
implementasi	implementasi
menginvestigasi	men investigasi
terdahulu	terdahulu
mengamatinya	men amati nya
guna	guna
menggoncangkan	men goncang kan
peluncuran	pen luncur an
desa	desa
mengairi	men air i
menjatahkan	men jatah kan
didiktekan	di dikte kan
diputar	di putar
