halnya	hal nya
instansinya	instansi nya
disinggung	di singgung
terjangan	terjang an
memeriksanya	men periksa nya
mengabulkan	men kabul kan
kiosnya	kios nya
laki	laki
berkesusahan	ber ke susah an
agustus	agustus
diurus	di urus
ditontonnya	di tonton nya
merawat	men rawat
menimba	men timba
derita	derita
lemah	lemah
mencercanya	men cerca nya
nutrisi	nutrisi
gelap	gelap
ujar	ujar
tingkatannya	tingkat an nya
temanmu	teman mu
dipamerkan	di pamer kan
pesanannya	pesan an nya
perilaku	perilaku
pencacahan	pen cacah an
selandia	selandia
terobosan	terobos an
direnovasinya	di renovasi nya
polusi	polusi
mengkoordinir	men koordinir
perdarahan	per darah an
petani	petani
arah	arah
lontong	lontong
pembentukannya	pen bentuk an nya
pelunak	pen lunak
inggris	inggris
memikulnya	men pikul nya
berair	ber air
berburu	ber buru
menyikapi	men sikap i
memedomani	men pedoman i
pemerintah	pen perintah
terpikir	ter pikir
penalti	penalti
pengembaliannya	pen kembali an nya
wasitnya	wasit nya
dipungut	di pungut
mulutnya	mulut nya
petisi	petisi
antarkegiatan	antar ke giat an
haus	haus
pangkat	pangkat
politikus	politikus
bersorak	ber sorak
berpenghuni	ber pen huni
berdiskusi	ber diskusi
ketidakmampuan	ke tidak mampu an
disebabkan	di sebab kan
tenun	tenun
perhotelan	per hotel an
proposal	proposal
pemogokan	pen mogok an
dipahami	di paham i
supir	supir
jasa	jasa
terduga	ter duga
pembongkaran	pen bongkar an
selamatkanku	selamat kan ku
penjelas	pen jelas
lampu	lampu
menempatkannya	men tempat kan nya
pertemanan	per teman an
mimpi	mimpi
bahu	bahu
mengobarkan	men kobar kan
sekutunya	sekutu nya
merasuk	men rasuk
kejam	kejam
jualan	jual an
benar	benar
dipromosikan	di promosi kan
mengefektifkan	men efektif kan
dihubungi	di hubung i
perpaduan	per padu an
tebang	tebang
devisa	devisa
optimal	optimal
gadai	gadai
lucu	lucu
dikompensasi	di kompensasi
memainkannya	men main kan nya
terbelenggu	ter belenggu
bertanam	ber tanam
lisan	lisan
hadirat	hadirat
mendiversifikasi	men diversifikasi
eksperimen	eksperimen
didekati	di dekat i
naturnya	natur nya
pertanggungjawabannya	per tanggungjawab an nya
hubungan	hubung an
mempekerjakannya	men pekerja kan nya
bertetangga	ber tetangga
diolesi	di oles i
mainkan	main kan
integrasi	integrasi
kepergianku	ke pergi an ku
berpindah	ber pindah
kameranya	kamera nya
insiden	insiden
penutup	pen tutup
dimiliki	di milik i
forensik	forensik
biayanya	biaya nya
garam	garam
pengarahan	pen arah an
suaminya	suami nya
malas	malas
diresmikan	di resmi kan
tamak	tamak
pertanggungjawaban	per tanggungjawab an
bisbol	bisbol
pemanis	pen manis
jatuhnya	jatuh nya
dililiti	di lilit i
penghasilan	pen hasil an
kampanyenya	kampanye nya
tembusan	tembus an
sejelas	se jelas
surutnya	surut nya
luasan	luas an
dipegang	di pegang
hasrat	hasrat
pemakaman	pen makam an
berbulu	ber bulu
pemberontak	pen berontak
komunitasnya	komunitas nya
pelatih	pen latih
yakinkan	yakin kan
diselenggarakan	di selenggara kan
berpendapatan	ber pen dapat an
berpawai	ber pawai
terhitung	ter hitung
kabar	kabar
memfotokopi	men fotokopi
estimasi	estimasi
pengumpulan	pen kumpul an
tembus	tembus
api	api
mengkoordinasikan	men koordinasi kan
terdiam	ter diam
raya	raya
menebang	men tebang
penyataan	pen nyata an
menyembur	men sembur
menit	menit
berliku	ber liku
teraniaya	ter aniaya
bersinggungan	ber singgung an
memikul	men pikul
menyangkali	men sangkal i
berawalan	ber awal an
henti	henti
berobat	ber obat
disabotase	di sabotase
mengarungi	men karung i
mayoritas	mayoritas
keberadaan	keberadaan
pengawas	pen awas
penuntun	pen tuntun
dialog	dialog
lengkapnya	lengkap nya
bertentangan	ber tentang an
dibatasi	di batas i
programnya	program nya
searah	se arah
kurs	kurs
puja	puja
diakomodasi	di akomodasi
pancuran	pancur an
jutaan	juta an
berteman	ber teman
spesial	spesial
mendukakan	men duka kan
mendengar	men dengar
memfasilitasi	men fasilitas i
menyeret	men seret
kaos	kaos
kapasitasnya	kapasitas nya
kering	kering
simak	simak
diakumulasikannya	di akumulasi kan nya
lancarnya	lancar nya
meliput	men liput
lezatnya	lezat nya
rendah	rendah
menghubungkannya	men hubung kan nya
karyawan	karya wan
karier	karier
monumen	monumen
sd	sd
penyangga	pen sangga
mencondongkan	men condong kan
laporannya	lapor an nya
mengejutkan	men kejut kan
meluncurkan	men luncur kan
direkonstruksi	di rekonstruksi
disipliner	disipliner
namanya	nama nya
dihasilkannya	di hasil kan nya
kotamadya	kotamadya
memperjuangkan	men juang kan
setara	setara
iman	iman
ia	ia
selektif	selektif
tersiar	ter siar
buruannya	buru an nya
diajar	di ajar
disamai	di sama i
perbedaannya	per beda an nya
mendistribusikannya	men distribusi kan nya
relevan	relevan
resmi	resmi
tebangan	tebang an
caranya	cara nya
pesan	pesan
amoral	amoral
bersusah	ber susah
demokratis	demokratis
berlutut	ber lutut
mengintimidasi	men intimidasi
menyiangi	men siang i
dongeng	dongeng
vakum	vakum
mengusir	men usir
menua	men tua
tempuh	tempuh
setapak	se tapak
mengaliri	men alir i
berdampaknya	ber dampak nya
memperkenankan	men kenan kan
pendampingan	pen damping an
aktifitas	aktifitas
dibungakan	di bunga kan
1950an	1950 an
pasir	pasir
dunianya	dunia nya
terimakasih	terimakasih
memasukannya	men pasukan nya
gulungan	gulung an
fungsinya	fungsi nya
mapan	mapan
imanmu	iman mu
diberitakan	di berita kan
berlatar	ber latar
menghadiri	men hadir i
akibat	akibat
berhimpitan	ber himpit an
pemindahan	pen pindah an
terobsesi	ter obsesi
sinkronisasi	sinkronisasi
riilnya	riil nya
pemetaan	pen peta an
persiapan	per siap an
menamai	men nama i
video	video
asap	asap
memberiku	men beri ku
diformulasikan	di formulasi kan
saus	saus
mengagungkan	men agung kan
punah	punah
berpartisipasi	ber partisipasi
bercocok	ber cocok
ulah	ulah
memperlemah	men lemah
pengkaji	pen kaji
memperlebar	men lebar
nonkontrak	non kontrak
rumit	rumit
berkarier	ber karier
dikendarainya	di kendara i nya
disebutnya	di sebut nya
bawahmu	bawah mu
seutuhnya	se utuh nya
penyegaran	pen segar an
gugatan	gugat an
dibangunnya	di bangun nya
ketidaktersediaan	ke tidak tersedia an
persaudaraannya	per saudara an nya
kapten	kapten
menunda	men tunda
bergereja	ber gereja
pikirkan	pikir kan
diinformasikan	di informasi kan
display	display
analisis	analisis
timbunan	timbun an
penagih	pen tagih
sekeluarga	se keluarga
berhutang	ber hutang
mengajak	men ajak
nonharga	non harga
diadakannya	di ada kan nya
mendaratkan	men darat kan
terganggunya	ter ganggu nya
jauhnya	jauh nya
disidangkan	di sidang kan
seimannya	se iman nya
dipisahkan	di pisah kan
terbilang	ter bilang
penghibur	pen hibur
nonsaham	non saham
dipertimbangkan	di per timbang kan
harganya	harga nya
diratifikasi	di ratifikasi
bertahap	ber tahap
seintensif	se intensif
persoalannya	per soal an nya
menyampaikan	men sampai kan
aliran	alir an
gilir	gilir
rumusan	rumus an
paku	paku
pengenalanmu	pen kenal an mu
mempertaruhkan	men taruh kan
membungkamkan	men bungkam kan
dicobai	di coba i
menyesali	men sesal i
tertolak	ter tolak
takarannya	takar an nya
renovasinya	renovasi nya
ujungnya	ujung nya
filosofi	filosofi
mendistribusi	men distribusi
kadaluarsa	kadaluarsa
cemas	cemas
kompetisi	kompetisi
dipakai	di pakai
membongkar	men bongkar
dirangkum	di rangkum
mengirimkan	men kirim kan
pagi	pagi
terperdaya	ter perdaya
diingatkan	di ingat kan
pelaksananya	pen laksana nya
diambang	di ambang
membidangi	men bidang i
pemasyarakatan	pen masyarakat an
sukacitaku	sukacita aku
beragam	ber ragam
pemula	pen mula
tunggal	tunggal
tersebar	ter sebar
gembalakan	gembala kan
kasihi	kasih i
properti	properti
pelibatan	pen libat an
belalai	belalai
disalahkan	di salah kan
mengadministrasikan	men administrasi kan
gemuruh	gemuruh
terperosok	terperosok
diterapkannya	di terap kan nya
komitmennya	komitmen nya
asin	asin
pertolongannya	per tolong an nya
berkesempatan	ber kesempatan
nondepartemen	non departemen
diunggah	di unggah
usulannya	usul an nya
baku	baku
perbedaan	per beda an
memperkecil	men kecil
rate	rate
menjadikannya	men jadi kan nya
kebagian	ke bagi an
dicicil	di cicil
kolega	kolega
perbatasan	per batas an
rahasia	rahasia
perhimpunan	per himpun an
mengapung	men apung
menunggangi	men tunggang i
kelihatannya	ke lihat an nya
keluarkan	keluar kan
dipelihara	di pelihara
deposito	deposito
dianiaya	di aniaya
berkepentingan	ber ke penting an
berproduksi	ber produksi
kukasihi	ku kasih i
bertugas	ber tugas
bocor	bocor
seharga	se harga
komisi	komisi
ditabung	di tabung
dikenai	di kena i
memukul	men pukul
antarkomunitas	antar komunitas
menghasilkan	men hasil kan
politis	politis
penjual	pen jual
direkrut	di rekrut
peninjau	pen tinjau
mengidentifikasi	men identifikasi
terima	terima
penunjukkan	penunjukkan
deretan	deret an
ketidakmunculan	ke tidak muncul an
tersimpan	ter simpan
memprosesnya	men proses nya
mengukir	men ukir
kakaknya	kakak nya
lamaran	lamar an
pesat	pesat
penggemar	pen gemar
buah	buah
pemesanan	pen pesan an
air	air
menjulang	men julang
logam	logam
membaik	men baik
pencuri	pen curi
kemarau	kemarau
hambatannya	hambat an nya
sarana	sarana
melontarkan	men lontar kan
primer	primer
dangkal	dangkal
melambaikan	men lambai kan
terkoordinir	ter koordinir
umurku	umur ku
perguliran	per gulir an
pembiusan	pen bius an
buruh	buruh
salinannya	salin an nya
terbentuknya	ter bentuk nya
perkawinan	per kawin an
dikepalai	di kepala i
diusir	di usir
lompatan	lompat an
dihentikan	di henti kan
kawan	kawan
mendampinginya	men damping i nya
hadapannya	hadap an nya
menjabarkan	men jabar kan
pendidik	pen didik
penasihat	penasihat
sedarah	se darah
masuknya	masuk nya
positifnya	positif nya
keluarganya	keluarga nya
memenuhinya	men penuh i nya
hapuskan	hapus kan
mengajarkannya	men ajar kan nya
artikel	artikel
terakumulasi	ter akumulasi
terheran	ter heran
depkes	depkes
semangat	semangat
penghuninya	pen huni nya
anugerahkan	anugerah kan
diadili	di adil i
truknya	truk nya
sesuatu	sesuatu
tahapan	tahap an
perzinaan	per zina an
konservatif	konservatif
mendaftarkannya	men daftar kan nya
ketidakseimbangan	ke tidak seimbang an
antisipasi	antisipasi
meja	meja
bersantap	ber santap
pahatan	pahat an
evakuasi	evakuasi
didiagnosis	di diagnosis
dikategori	di kategori
menghilangkan	men hilang kan
diceraikan	di cerai kan
mengacu	men acu
merayakan	men raya kan
asa	asa
milyaran	milyar an
terdistribusi	ter distribusi
menantu	menantu
piutang	piutang
menahannya	men tahan nya
bermuatan	ber muat an
tawanan	tawan an
membeberkan	men beber kan
dipermasalahkan	di per masalah kan
kutinggalkan	ku tinggal kan
artikelnya	artikel nya
aman	aman
menguap	men uap
menjiwai	men jiwa i
pergi	pergi
mendarat	men darat
pembaruan	pen baru an
berbahagia	ber bahagia
penyelundupan	pen selundup an
tariknya	tarik nya
menyukseskan	men sukses kan
mempertimbangkan	men timbang kan
pilihan	pilih an
separuh	se paruh
peserta	peserta
menyepakatinya	men sepakat i nya
terasing	ter asing
memenangkan	men menang kan
duplikasi	duplikasi
kaidah	kaidah
pencurian	pen curi an
menguras	men kuras
tersebut	ter sebut
memecat	men pecat
pembayar	pen bayar
memilah	men pilah
dikhianati	di khianat i
diharap	di harap
pemantapan	pen mantap an
terkena	ter kena
menjelang	men jelang
nyamuk	nyamuk
berpegang	ber pegang
menggulung	men gulung
diaksesnya	di akses nya
tasnya	tas nya
minim	minim
antarpemilik	antar pen milik
baitul	baitul
darahku	darah ku
menanti	menanti
gaul	gaul
kuminta	ku minta
terisolasi	ter isolasi
berlibur	ber libur
tabel	tabel
pemandangan	pen pandang an
tajamnya	tajam nya
pinjam	pinjam
residual	residual
menyoroti	men sorot i
bekerjasama	bekerjasama
saya	saya
soda	soda
terhimpun	ter himpun
sorenya	sore nya
pemasoknya	pen pasok nya
minumnya	minum nya
fiskal	fiskal
pembunuhan	pen bunuh an
perolehan	peroleh an
ditegakkan	di tegak kan
permen	permen
apatis	apatis
mengidap	men idap
pemeta	pen peta
kecil	kecil
rajin	rajin
mengkompromikan	men kompromi kan
jarang	jarang
rumitnya	rumit nya
alur	alur
kondisi	kondisi
pertumbuhannya	per tumbuh an nya
dermaga	dermaga
wajar	wajar
mencetak	men cetak
pengusiran	pen usir an
gerakan	gerak an
menyuratkan	men surat kan
menjangkiti	men jangkit i
menjaga	men jaga
meninggikan	men tinggi kan
emosionalnya	emosional nya
indikasinya	indikasi nya
gembiranya	gembira nya
dampak	dampak
kasar	kasar
peternakan	peternakan
akta	akta
wali	wali
ruang	ruang
sepoi	sepoi
pemerasan	pen peras an
mekanismenya	mekanisme nya
dituntaskan	di tuntas kan
edaran	edar an
perombakan	pen rombak an
menyembah	men sembah
diadakan	di ada kan
memberikan	men beri kan
terindah	ter indah
pelacakan	pen lacak an
ayatnya	ayat nya
bermusuhan	ber musuh an
undi	undi
menatapnya	men tatap nya
kukenal	ku kenal
detik	detik
pembukaan	pen buka an
fasilitas	fasilitas
menantunya	menantu nya
pemakaian	pen pakai an
minuman	minum an
iurannya	iuran nya
seadat	se adat
pekerjaanku	pekerja an ku
timnya	tim nya
kusut	kusut
mulut	mulut
menuangkan	men tuang kan
ketidakikutsertaan	ke tidak ikutserta an
terulang	ter ulang
nonusaha	non usaha
penumpukan	pen tumpuk an
meragukan	men ragu kan
kafir	kafir
pergolakan	per golak an
mendampingi	men damping i
turunan	turun an
hadapi	hadap i
paduan	padu an
mulutku	mulut ku
sambutan	sambut an
dunia	dunia
mendaur	men daur
analisi	analis i
mengadopsi	men adopsi
pendekatan	pen dekat an
dapatkan	dapat kan
menuju	men tuju
merancangkan	men rancang kan
didesentralisasikan	di desentralisasi kan
menstimulasi	men stimulasi
bara	bara
mitra	mitra
sibuknya	sibuk nya
dianut	di anut
anjing	anjing
januari	januari
membacakan	men baca kan
lurah	lurah
fakultas	fakultas
kuil	kuil
pasiennya	pasien nya
handuk	handuk
satelit	satelit
serukan	seru kan
sombong	sombong
dihitung	di hitung
menyeimbangkan	men seimbang kan
dilanggar	di langgar
sejuk	sejuk
tumbuhnya	tumbuh nya
terhalangi	ter halang i
dihuni	di huni
melimpahkan	men limpah kan
angkut	angkut
anggotanya	anggota nya
menuliskannya	men tulis kan nya
dilimpahkan	di limpah kan
beban	beban
personil	personil
penyaliban	pen salib an
menimpa	men timpa
diplomasi	diplomasi
tubuhku	tubuh ku
ratap	ratap
mewah	mewah
menyangkal	men sangkal
perintis	pen rintis
pemikirannya	pen pikir an nya
memperkenalkan	men kenal kan
dibelanjakan	di belanja kan
membelah	men belah
anak	anak
membiarnya	men biar nya
bohong	bohong
anggrek	anggrek
minta	minta
menaati	men taat i
terpanjang	ter panjang
jalar	jalar
cengkeh	cengkeh
mengendalikan	men kendali kan
pengolahan	pen olah an
sebidang	se bidang
serangan	serang an
beku	beku
tarif	tarif
mentimun	mentimun
membiarkan	men biar kan
berisiko	ber risiko
klarifikasi	klarifikasi
dibekali	di bekal i
sampah	sampah
terkunci	ter kunci
asalkan	asal kan
pikul	pikul
rekaan	reka an
pengadministrasian	pen administrasi an
panti	panti
musik	musik
tempuran	tempur an
tinggalnya	tinggal nya
menginterpretasikannya	men interpretasi kan nya
skema	skema
dimuat	di muat
sekerjanya	se kerja nya
keran	keran
kotornya	kotor nya
penghancur	pen hancur
mengkonsumsi	men konsumsi
menyebalkan	men sebal kan
pembatalannya	pen batal an nya
pengaduan	pen adu an
kekasih	kekasih
beragi	ber ragi
ketidakseriusan	ke tidak serius an
penghormatan	pen hormat an
menutup	men tutup
berskala	ber skala
gereja	gereja
kagumi	kagum i
membombardir	men bombardir
gemuruhnya	gemuruh nya
transparannya	transparan nya
pikir	pikir
merayu	men rayu
pendesentralisasian	pen desentralisasi an
fitur	fitur
menjalar	men jalar
membangkitkan	men bangkit kan
disertifikasi	di sertifikasi
fasik	fasik
sepedanya	sepeda nya
menggratiskan	men gratis kan
sahabatnya	sahabat nya
beradaptasi	ber adaptasi
gali	gali
lanjutan	lanjut an
setahun	se tahun
konstitusional	konstitusional
curah	curah
cirinya	ciri nya
mengoptimalkan	men optimal kan
munafik	munafik
menakutkan	men takut kan
dekat	dekat
mengartikan	men arti kan
manusia	manusia
ajang	ajang
terukur	ter ukur
alam	alam
celaka	celaka
taiwan	tai wan
ditempat	di tempat
dikaburkan	di kabur kan
netral	netral
tersulut	ter sulut
meloloskan	men lolos kan
pedesaannya	pedesaan nya
tampilkan	tampil kan
huruf	huruf
antrinya	antri nya
berakhir	ber akhir
pengadministrasiannya	pen administrasi an nya
mekanisme	mekanisme
langka	langka
membayangkan	men bayang kan
sabda	sabda
menampilkan	men tampil kan
pengolahannya	pen olah an nya
pakan	pakan
akhirat	akhirat
pergerakan	per gerak an
mengendarai	men kendara i
acuan	acu an
terbantu	ter bantu
kuat	kuat
kutuk	kutuk
terfokus	ter fokus
timur	timur
terpajang	ter pajang
lazim	lazim
muhammad	muhammad
menurunkan	men turun kan
menginterpretasikan	men interpretasi kan
kreativitas	kreativitas
pemeringkatan	pen peringkat an
pengantar	pen antar
kedipan	kedip an
berjenjang	ber jenjang
dibakukan	di baku kan
bermilik	ber milik
detail	detail
bersepakat	ber sepakat
dikoordinir	di koordinir
digulirkan	di gulir kan
anggapan	anggap an
mangsanya	mangsa nya
warisnya	waris nya
didirikannya	di diri kan nya
dikenali	di kenal i
anyaman	anyam an
penjagaan	pen jaga an
terkagum	ter kagum
pencukur	pen cukur
berkomentar	ber komentar
ungkapkan	ungkap kan
menginjeksi	men injeksi
industri	industri
menyusutnya	men susut nya
pencacah	pen cacah
gerai	gerai
diselamatkannya	di selamat kan nya
menghambat	men hambat
serendah	se rendah
dikuatirkan	di kuatir kan
kampusnya	kampus nya
pembenci	pen benci
melaporkan	men lapor kan
lembut	lembut
mengunggah	men unggah
kabupaten	kabupaten
terdorong	ter dorong
menyuruh	men suruh
katak	katak
berinovasi	ber inovasi
mengenalnya	men kenal nya
ilmuwan	ilmu wan
merayakannya	men raya kan nya
tuhan	tuhan
mengendarainya	men kendara i nya
penembakan	pen tembak an
penjahit	pen jahit
kelapa	kelapa
kritis	kritis
situsnya	situs nya
visinya	visi nya
dinegosiasikan	di negosiasi kan
tempatmu	tempat mu
sebutkan	sebut kan
petinju	pen tinju
menulis	men tulis
mengakomodasi	men akomodasi
menyuburkan	men subur kan
berikut	ber ikut
akuisisi	akuisisi
tipu	tipu
kompeten	kompeten
mendoakan	men doa kan
bumbu	bumbu
cabangnya	cabang nya
diinginkan	di ingin kan
masa	masa
dahaga	dahaga
triwulan	triwulan
bermata	ber mata
terang	terang
jiwanya	jiwa nya
menghindari	men hindar i
juri	juri
pertimbangannya	per timbang an nya
ketidaksesuaian	ke tidak sesuai an
rentan	rentan
melaut	men laut
menerimanya	men terima nya
mengajarinya	men ajar i nya
lewat	lewat
dimasukinya	di masuk i nya
investasi	investasi
dipasarkan	di pasar kan
turunkan	turun kan
relatif	relatif
perampok	pen rampok
rudal	rudal
diskon	diskon
jari	jari
mesjid	mesjid
pendataan	pen data an
dituju	di tuju
validasi	validasi
diperlunak	di per lunak
gol	gol
belajar	belajar
mengambil	men ambil
bertekuk	ber tekuk
ketidakpercayaan	ke tidak percaya an
rancu	rancu
terhampar	ter hampar
membersihkan	men bersih kan
lampiran	lampir an
diluluskan	di lulus kan
bobotnya	bobot nya
diadukan	di adu kan
pergumulannya	per gumul an nya
ambisi	ambisi
peralatan	per alat an
legislasi	legislasi
memusyawarahkannya	men musyawarah kan nya
jamak	jamak
digilir	di gilir
disederhanakan	di sederhana kan
pertumbuhan	per tumbuh an
menghampiri	men hampiri
biarkan	biar kan
lambang	lambang
negeri	negeri
penciptaan	pen cipta an
memenangi	men menang i
melangkahkan	men langkah kan
terkaya	ter kaya
penyeragaman	pen seragam an
dukunnya	dukun nya
bergiliran	ber gilir an
berpisah	ber pisah
menggadai	men gadai
konfrontasi	konfrontasi
perannya	peran nya
balasannya	balas an nya
server	server
pemurah	pen murah
dipenjara	di penjara
kepala	kepala
aktif	aktif
terbebani	ter beban i
mendiskriminasi	men diskriminasi
mendapat	men dapat
penekanannya	pen tekan an nya
mewawancarai	men wawancara i
menanyakannya	men tanya kan nya
pertanian	per tani an
menguatkan	men kuat kan
perikanan	per ikan an
instalasi	instalasi
semprot	semprot
diktenya	dikte nya
meluruskannya	men lurus kan nya
bebas	bebas
sektor	sektor
teh	teh
dimonitor	di monitor
wiraswasta	wiraswasta
menanggapi	men tanggap i
argumen	argumen
pembasmi	pen basmi
gawang	gawang
kamarmu	kamar mu
membelenggu	men belenggu
seismik	seismik
bobot	bobot
diatur	di atur
mengakar	men akar
bergirang	ber girang
karibia	karibia
penalaran	pen nalar an
dipalsukan	di palsu kan
tatapan	tatap an
berterus	ber terus
rona	rona
anu	anu
daratan	darat an
studinya	studi nya
menandingi	men tanding i
profesionalismenya	profesionalisme nya
dicacah	di cacah
prakteknya	praktek nya
memanipulasi	men manipulasi
mengangkut	men angkut
pemuridan	pen murid an
produser	produser
bidangnya	bidang nya
mesra	mesra
dibacakan	di baca kan
persalinan	per salin an
wilayah	wilayah
palsu	palsu
kebal	kebal
bertuan	ber tuan
sarananya	sarana nya
lukisan	lukis an
memimpin	men pimpin
nonpertanian	non per tani an
terintegrasi	ter integrasi
pelembagaan	pen lembaga an
keponakan	keponakan
interaksi	interaksi
mengkampanyekan	men kampanye kan
beasiswa	beasiswa
mengamankan	men aman kan
betul	betul
dimaknai	di makna i
menempatkan	men tempat kan
bahan	bah an
terganggu	ter ganggu
perobohan	pen roboh an
ringkas	ringkas
kebalikan	ke balik an
mengejek	men ejek
kurungan	kurung an
dirintis	di rintis
tindakannya	tindak an nya
perkaretan	per karet an
keinginan	ke ingin an
diikuti	di ikut i
adat	adat
pedih	pedih
disampaikannya	di sampai kan nya
perantara	perantara
disiapkannya	di siap kan nya
memuja	men puja
penyiapan	pen siap an
iklan	iklan
nonrumah	non rumah
putrinya	putri nya
dinamakan	di nama kan
haman	ham an
ditata	di tata
pudar	pudar
sulut	sulut
ketidakterbukaan	ke tidak terbuka an
rw	rw
memprakirakan	men prakira kan
timbangannya	timbang an nya
dimintai	di minta i
dikendalikan	di kendali kan
akunting	akunting
ditindaklanjuti	di tindaklanjut i
terdapat	ter dapat
intimidasi	intimidasi
metodologi	metodologi
peri	pen ri
didiktekan	di dikte kan
piranti	piranti
gencar	gencar
pendisiplinan	pen disiplin an
diharapkan	di harap kan
waduk	waduk
perdana	perdana
topinya	top i nya
mengolah	men olah
berurutan	ber urut an
organisasinya	organisasi nya
penyuluh	pen suluh
unit	unit
tangisan	tangis an
persamaan	per sama an
sampahnya	sampah nya
amarah	amarah
kisah	kisah
biologi	biologi
bibinya	bibi nya
sebisa	se bisa
arab	arab
rahim	rahim
sepupu	sepupu
menghubungi	men hubung i
menggoreng	men goreng
takhta	takhta
cokelat	cokelat
ditanggungnya	di tanggung nya
peta	peta
melengkapinya	men lengkap i nya
tetangganya	tetangga nya
hancur	hancur
seumpama	se umpama
menyadarkan	men sadar kan
mamalia	mamalia
memotong	men potong
hancurnya	hancur nya
puskesmasnya	puskesmas nya
ketahui	ketahui
pidato	pidato
mencium	men cium
mengetuk	men ketuk
informan	informan
gugur	gugur
pembajakan	pen bajak an
temanku	teman ku
perbuatannya	per buat an nya
apartemen	apartemen
diterangkan	di terang kan
mengagendakan	men agenda kan
mengencangkan	men kencang kan
diindonesiakan	di indonesia kan
sederhanakan	sederhana kan
cukupi	cukup i
signifikan	signifikan
penarik	pen tarik
pembeli	pen beli
kenakan	kena kan
geografisnya	geografis nya
berawak	ber awak
selepas	se lepas
sebanyak	se banyak
meneliti	men teliti
menakjubkan	men takjub kan
pangkuannya	pangku an nya
jarak	jarak
peminjam	pen pinjam
apresiasi	apresiasi
kuterima	ku terima
ciptakan	cipta kan
dilelang	di lelang
krisis	krisis
bersenjata	ber senjata
terlebih	ter lebih
entri	entri
pendorong	pen dorong
demobilisasi	demobilisasi
dikemas	di kemas
percayanya	percaya nya
menanggung	men tanggung
cipta	cipta
didapatkan	di dapat kan
berlumpur	ber lumpur
biologis	biologis
kemungkinan	kemungkinan
pembuktian	pen bukti an
aturannya	atur an nya
mengakibatkan	men akibat kan
tercela	ter cela
terserap	ter serap
melembaga	men lembaga
kosmetik	kosmetik
membangkitkanku	men bangkit kan ku
duduk	duduk
jiwaku	jiwa aku
jerman	jerman
dikeluarkan	di keluar kan
mendata	men data
panen	panen
menyokong	men sokong
banyaknya	banyak nya
dikasih	di kasih
meratanya	men rata nya
ketidakselarasan	ke tidak selaras an
bersekutu	ber sekutu
menurunnya	men turun nya
mengherankan	men heran kan
mendidiknya	men didik nya
serumit	se rumit
penggodokan	pen godok an
pintar	pintar
setujui	setuju i
penangkap	pen tangkap
dibariskan	di baris kan
tercemarnya	ter cemar nya
dikembalikan	di kembali kan
sekunder	sekunder
pelamar	pen lamar
pelayarannya	pen layar an nya
pemiliknya	pen milik nya
imbas	imbas
menancapkan	men tancap kan
bertepuk	ber tepuk
terjalinnya	ter jalin nya
gas	gas
paus	paus
termutakhir	ter mutakhir
debu	debu
bawahannya	bawah an nya
parkir	parkir
terpaksa	ter paksa
dikontrak	di kontrak
ngeri	ngeri
bulan	bulan
tampak	tampak
dimampukan	di mampu kan
pilihnya	pilih nya
menanyakan	men tanya kan
luang	luang
merealokasi	men realokasi
diantisipasi	di antisipasi
prevalensi	prevalensi
penjahat	pen jahat
indikasi	indikasi
membayarkan	men bayar kan
terhubung	ter hubung
prioritas	prioritas
rekannya	rekan nya
didampinginya	di damping i nya
iklannya	iklan nya
memerintah	men perintah
berkelahi	ber kelahi
bahas	bahas
merebut	men rebut
lebaran	lebar an
beratnya	berat nya
mengajaknya	men ajak nya
antarinstansi	antar instansi
kandidat	kandidat
mengembalikan	men kembali kan
perwira	perwira
dibiaya	di biaya
meneguhkan	men teguh kan
pemalsuan	pen palsu an
kesempatannya	kesempatan nya
tumpangan	tumpang an
bervariasinya	ber variasi nya
patroli	patroli
seiman	se iman
rekapitulasi	rekapitulasi
perjanjian	per janji an
akademis	akademis
jendela	jendela
kuncinya	kunci nya
menyeberang	men seberang
percakapan	per cakap an
mempelajari	men pelajar i
penulis	pen tulis
dianutnya	di anut nya
menampik	men tampik
kedelai	kedelai
terbebas	ter bebas
bersabda	ber sabda
pengerasan	pen keras an
operatornya	operator nya
digandakan	di ganda kan
pertaniannya	per tani an nya
mendakwa	men dakwa
dijejali	di jejal i
modul	modul
jerat	jerat
manipulasi	manipulasi
mobilitas	mobilitas
renangnya	renang nya
bermusyawarah	ber musyawarah
mempersatukan	men satu kan
mobilnya	mobil nya
baik	baik
berbeban	ber beban
dimediasi	di mediasi
pemerintahan	pen perintah an
ditambahkan	di tambah kan
keruh	keruh
mempertanggungjawabkan	men tanggungjawab kan
menjuarai	men juara i
pengangsuran	pen angsur an
gemuk	gemuk
pemberkasan	pen berkas an
mengintensifkan	men intensif kan
menggelisahkan	men gelisah kan
dibiayai	di biaya i
talak	talak
elit	elit
terjawab	ter jawab
mengampuni	men ampun i
menerpa	men terpa
tenis	tenis
pemukimannya	pen mukim an nya
fakir	fakir
menempel	men tempel
menghamparkan	men hampar kan
sepak	sepak
memanggil	men panggil
saudaramu	saudara mu
dicengkeram	di cengkeram
mengasumsikan	men asumsi kan
koleksi	koleksi
cadangannya	cadang an nya
dimakamkan	di makam kan
membedakan	men beda kan
pasang	pasang
pemilihannya	pen pilih an nya
lutut	lutut
terjadi	ter jadi
pembuat	pen buat
