mengganggu	men ganggu
bosnya	bos nya
larangan	larang an
substansi	substansi
diantar	di antar
mengimani	men iman i
idenya	ide nya
ketidaksabaran	ke tidak sabar an
tereliminasi	ter eliminasi
menggema	men gema
penyembah	pen sembah
menghindarinya	men hindar i nya
mengkritik	men kritik
bilik	bilik
wibawa	wibawa
jelasnya	jelas nya
jungkir	jungkir
serangga	serangga
berpotensial	ber potensial
jeruk	jeruk
warung	warung
diagendakan	di agenda kan
goyangkan	goyang kan
penagihan	pen tagih an
bulanan	bulan an
tindakannya	tindak an nya
liberal	liberal
strukturnya	struktur nya
memerangi	men perang i
hebatnya	hebat nya
melemah	men lemah
sebaliknya	sebaliknya
petinggi	petinggi
putranya	putra nya
pengajaran	pen ajar an
mengagungkan	men agung kan
heran	heran
saham	saham
terlupakan	ter lupa kan
perkenalan	per kenal an
ditendang	di tendang
nyanyiannya	nyanyi an nya
pemilihnya	pen pilih nya
divalidasi	di validasi
disalurkan	di salur kan
terbesar	ter besar
dirangkum	di rangkum
penggagas	pen gagas
konsistennya	konsisten nya
mendaur	men daur
kelihatannya	ke lihat an nya
raksasa	raksasa
stoknya	stok nya
diatasi	di atas i
menghormati	men hormat i
perorangan	per orang an
pipi	pipi
biskuit	biskuit
dinamakan	di nama kan
gemar	gemar
koordinator	koordinator
dagangannya	dagang an nya
kartunya	kartu nya
koordinasinya	koordinasi nya
pencabutan	pen cabut an
dibayar	di bayar
didasari	di dasar i
pemahamannya	pen paham an nya
menyusun	men susun
ketidaksetaraan	ke tidak setara an
berjumpa	ber jumpa
seikhlasnya	se ikhlas nya
gerai	gerai
kadarnya	kadar nya
penjelajah	pen jelajah
pas	pas
terimakasih	terimakasih
menegarkan	men tegar kan
menyita	men sita
dikunjungi	di kunjung i
pemberitaan	pen berita an
pemutusan	pen putus an
pengorbanan	pen korban an
merujuk	men rujuk
asumsi	asumsi
dipersepsikan	di persepsi kan
lulusan	lulus an
mengindahkan	men indah kan
khotbahnya	khotbah nya
tumbuhnya	tumbuh nya
bakso	bakso
maut	maut
antarprovinsi	antar provinsi
dihasilkan	di hasil kan
mengharuskan	men harus kan
mewakilkan	men wakil kan
perhatian	per hati an
pahlawan	pahlawan
dicakup	di cakup
mengawasinya	men awas i nya
dimenangkan	di menang kan
menyemangati	men semangat i
perlombaan	per lomba an
maksudkan	maksud kan
kaosnya	kaos nya
penundukan	pen tunduk an
rambutnya	rambut nya
merestui	men restu i
kira	kira
produknya	produk nya
berkurang	ber kurang
ketidakpuasan	ke tidak puas an
aparat	aparat
aktifitas	aktifitas
tersedot	ter sedot
konkrit	konkrit
mudahnya	mudah nya
ketidakseriusan	ke tidak serius an
relawan	rela wan
intensifnya	intensif nya
cetak	cetak
minuman	minum an
anggarannya	anggar an nya
tingkat	tingkat
menyesali	men sesal i
ekspresi	ekspresi
mengenai	men kena i
memikirkan	men pikir kan
terhindar	ter hindar
sinkronisasi	sinkronisasi
stempel	stempel
perduli	perduli
ambilkan	ambil kan
terangkum	ter rangkum
dirumahkan	di rumah kan
lkm	lkm
sintesis	sintesis
antusiasme	antusiasme
bersedia	ber sedia
melawan	men lawan
dipilihnya	di pilih nya
berselisih	ber selisih
diijinkan	di ijin kan
membangkitkan	men bangkit kan
batin	batin
ditekuninya	di tekun i nya
berdaya	ber daya
impiannya	impian nya
ubi	ubi
pendahuluan	pendahulu an
prediksi	prediksi
tuhan	tuhan
tertolong	ter tolong
distribusi	distribusi
lagunya	lagu nya
jadinya	jadi nya
pengentasan	pen entas an
kokpit	kokpit
memegangnya	men pegang nya
diverifikasi	di verifikasi
berakhirnya	ber akhir nya
hibah	hibah
menjerit	men jerit
pemuka	pen muka
menghubungi	men hubung i
laporan	lapor an
pelacakan	pen lacak an
kalender	kalender
mengulang	men ulang
mungilnya	mungil nya
penahan	pen tahan
terendah	ter rendah
konvoi	konvoi
distribusinya	distribusi nya
memproyeksikan	men proyeksi kan
akte	akte
menghilangnya	men hilang nya
dukungannya	dukung an nya
bernomor	ber nomor
aturannya	atur an nya
perisai	perisai
pengadministrasiannya	pen administrasi an nya
tersentuh	ter sentuh
penerapannya	pen terap an nya
tidurku	tidur ku
tindihnya	tindih nya
mendorongnya	men dorong nya
memantaunya	men pantau nya
program	program
triwulanan	triwulan an
tabrak	tabrak
bersepakat	ber sepakat
sekolahnya	sekolah nya
nontunai	nontunai
dijatuhi	di jatuh i
deposito	deposito
artistik	artistik
pelayannya	pen layan nya
dilihatnya	di lihat nya
dikompromikan	di kompromi kan
sari	sari
gabungan	gabung an
mendorong	men dorong
pengusulan	pen usul an
merawat	men rawat
absen	absen
dikatakannya	di kata kan nya
bima	bima
sirip	sirip
menyuap	men suap
aktif	aktif
menimpa	men timpa
menimpanya	men timpa nya
pembasmi	pen basmi
terdokumentasi	ter dokumentasi
pencoretan	pen coret an
menggesernya	men geser nya
pesaingnya	pesaing nya
menyambutku	men sambut ku
pangkuannya	pangku an nya
direnovasi	di renovasi
terdapatnya	ter dapat nya
sebutkan	sebut kan
basi	bas i
pemantauannya	pen pantau an nya
menangkal	men tangkal
antisipasi	antisipasi
membayangkan	men bayang kan
pengeboran	pengeboran
efektif	efektif
diwarnai	di warna i
terdiri	ter diri
disempurnakan	di sempurna kan
dengar	dengar
berinisiatif	ber inisiatif
dibacakan	di baca kan
berbisik	ber bisik
ulah	ulah
akibatnya	akibat nya
merealokasikan	men realokasi kan
diklasifikasikan	di klasifikasi kan
ditunda	di tunda
golongan	golong an
dipersiapkan	di per siap kan
bidannya	bidan nya
pertaniannya	per tani an nya
dipicu	di picu
bangkit	bangkit
pengestimasian	pen estimasi an
mengungkap	men ungkap
dinas	dinas
mendengarnya	men dengar nya
terseret	ter seret
tanggung	tanggung
dipegang	di pegang
penyempurnaan	pen sempurna an
bimbang	bimbang
cerdas	cerdas
silam	silam
pendalaman	pen dalam an
senjata	senjata
asosiasi	asosiasi
berkolaborasi	ber kolaborasi
tabah	tabah
dibaharui	di baharu i
kontes	kontes
ditegakkan	di tegak kan
sampan	sampan
terletak	ter letak
kepalanya	kepala nya
mengaksesnya	men akses nya
menegangkan	men tegang kan
mahalnya	mahal nya
masyarakat	masyarakat
disebabkan	di sebab kan
komputer	komputer
nyeri	nyeri
mengaktifkan	men aktif kan
islam	islam
seefisien	se efisien
dibariskan	di baris kan
pelayananku	pen layan an ku
tercipta	ter cipta
mengkompensasi	men kompensasi
perekonomiannya	per ekonomi an nya
disiarkan	di siar kan
getaran	getar an
keping	keping
mengorban	men korban
gerutu	gerutu
lukanya	luka nya
disibukkan	di sibuk kan
tertipu	ter tipu
simpatinya	simpati nya
dilantunkannya	di lantun kan nya
menilik	men tilik
artinya	arti nya
terukir	ter ukir
karun	karun
penjumlahan	pen jumlah an
pengetahuannya	pengetahuan nya
sunyi	sunyi
kebal	kebal
awan	awan
pertanyaannya	per tanya an nya
ukurannya	ukur an nya
praktek	praktek
menyatakannya	men nyata kan nya
klaim	klaim
antarkabupaten	antar kabupaten
tungku	tungku
sihir	sihir
memburuk	men buruk
lawannya	lawan nya
sebotol	se botol
top	top
menandai	men tanda i
berdedikasi	ber dedikasi
penangkapan	pen tangkap an
gigi	gigi
malam	malam
genggam	genggam
mendengarkannya	men dengar kan nya
jaminannya	jamin an nya
seindah	se indah
menyimpannya	men simpan nya
advokat	advokat
tebang	tebang
ketidakbahagiaan	ke tidak bahagia an
konvensional	konvensional
wakilnya	wakil nya
regional	regional
meluruskan	men lurus kan
monitornya	monitor nya
rencana	rencana
benar	benar
selamatkanku	selamat kan ku
tindakan	tindak an
memikulmu	men pikul mu
pemda	pemda
disingkapkan	di singkap kan
diterlantarkan	di terlantar kan
mata	mata
bijak	bijak
api	api
ragi	ragi
teduh	teduh
hinaan	hina an
nonaset	non aset
meter	meter
digenggam	di genggam
terbitnya	terbit nya
tersembunyi	ter sembunyi
integrasi	integrasi
sensasi	sensasi
meminati	men minat i
disahkannya	di sah kan nya
berterus	ber terus
pergunungan	per gunung an
berkompetisi	ber kompetisi
pemainnya	pen main nya
pedesaannya	pedesaan nya
intervensi	intervensi
ajar	ajar
penggantiannya	pen ganti an nya
pemulihan	pen pulih an
berwewenang	ber wewenang
menkeu	menkeu
menyuntikkan	men suntik kan
pengendali	pen kendali
bibirnya	bibir nya
sesak	sesak
mengintensifkan	men intensif kan
digital	digital
pemisah	pen pisah
menonjol	men tonjol
abaikan	abai kan
menggandakan	men ganda kan
serbuan	serbu an
menjahit	men jahit
timbangan	timbang an
memadainya	memadai nya
memajang	men pajang
mengangkat	men angkat
berdampaknya	ber dampak nya
memancing	men pancing
tuanku	tuan ku
persaingan	per saing an
ditujukan	di tuju kan
percobaan	per coba an
distributor	distributor
semesta	semesta
mencobai	men coba i
selasa	selasa
pejuang	pejuang
imajinasi	imajinasi
penafsir	pen tafsir
anemia	anemia
alfabet	alfabet
terkorup	ter korup
tas	tas
gaul	gaul
memerintahkan	men perintah kan
proyek	proyek
nonpertaniannya	non per tani an nya
lazim	lazim
dilupakan	di lupa kan
seksual	seksual
polos	polos
nonpungutan	non pungut an
dipenuhi	di penuh i
dibacanya	di baca nya
antartahun	antar tahun
merisaukan	men risau kan
bergantian	ber ganti an
bocor	bocor
ayahmu	ayah mu
temanku	teman ku
yakini	yakin i
wadah	wadah
militan	militan
ekonom	ekonom
voltase	voltase
motonya	moto nya
naturnya	natur nya
dadaku	dada aku
cangkul	cangkul
bunyinya	bunyi nya
peledak	pen ledak
bergurau	ber gurau
pengelolaan	pen kelola an
ditimbulkannya	di timbul kan nya
pengirimannya	pen kirim an nya
pertukangan	per tukang an
menggolongkan	men golong kan
pejabatnya	pejabat nya
pencakar	pen cakar
berkesan	ber kesan
apresiasinya	apresiasi nya
lebah	lebah
saudara	saudara
nonreguler	non reguler
awal	awal
budimu	budi mu
bodohnya	bodoh nya
direktur	direktur
rangkap	rangkap
selektif	selektif
zaman	zaman
pembantuan	pen bantu an
ditampar	di tampar
aneka	aneka
sayuran	sayur an
penandatanganan	pen tandatangan an
terakhir	ter akhir
diinvestasikan	di investasi kan
karet	karet
pencacah	pen cacah
tni	tn i
melangkah	men langkah
mengosongkan	men kosong kan
beraneka	ber aneka
agen	agen
menjangkiti	men jangkit i
deklarasi	deklarasi
allahnya	allah nya
cuacanya	cuaca nya
diperbolehkan	di per boleh kan
menyibukkan	men sibuk kan
menjalin	men jalin
teknologi	teknologi
dipukul	di pukul
diselamatkannya	di selamat kan nya
cairan	cair an
patuh	patuh
mengacu	men acu
menyelamatkannya	men selamat kan nya
chevy	chevy
sepak	sepak
mengakibatkan	men akibat kan
mengikutinya	men ikut i nya
diminimalkan	di minimal kan
bait	bait
ambivalen	ambivalen
pelataran	pen latar an
tetangganya	tetangga nya
akademis	akademis
pelaksanaannya	pen laksana an nya
gunanya	guna nya
alas	alas
kurungan	kurung an
pelantikannya	pen lantik an nya
bagian	bagi an
diakumulasikannya	di akumulasi kan nya
taburkan	tabur kan
mencermati	men cermat i
dileskan	di les kan
serumit	se rumit
organik	organik
pesertanya	peserta nya
menyantuni	men santun i
sebulir	se bulir
termin	ter min
monumennya	monumen nya
mengoleskan	men oles kan
matahari	matahari
bermakna	ber makna
diberlakukannya	di ber laku kan nya
kutukan	kutuk an
diperdamaikan	di per damai kan
antarnegara	antar negara
ilahi	ilahi
terbukti	ter bukti
paket	paket
memberontak	men berontak
sertifikat	sertifikat
pemekaran	pen mekar an
permukiman	per mukim an
menebarkan	men tebar kan
pinggir	pinggir
pemeringkatan	pen peringkat an
mungil	mungil
mertua	mertua
menghadapi	men hadap i
diperantarai	di perantara i
cengkeraman	cengkeram an
binaan	bina an
sekutu	sekutu
terkemuka	ter kemuka
pekerjaanmu	pekerja an mu
dirampok	di rampok
perantara	perantara
membelah	men belah
berseberangan	ber seberang an
menandaskan	men tandas kan
berhimpitan	ber himpit an
terhentinya	ter henti nya
pengembaliannya	pen kembali an nya
anugerahkan	anugerah kan
kehadirannya	ke hadir an nya
mengajarkannya	men ajar kan nya
mengeliminasi	men eliminasi
pengertiannya	pengertian nya
komedi	komedi
digembalakan	di gembala kan
searah	se arah
cukur	cukur
pengingat	pen ingat
mudanya	muda nya
koloni	koloni
dipegangnya	di pegang nya
perbedaan	per beda an
selisih	selisih
belanjakan	belanja kan
opsi	opsi
contoh	contoh
mencemari	men cemar i
mukjizat	mukjizat
datar	datar
memucat	men pucat
alumninya	alumni nya
masyarakatnya	masyarakat nya
bangun	bangun
mengoreksi	men koreksi
hiasan	hias an
otoritas	otoritas
mengenangnya	men kenang nya
dibangun	di bangun
kapital	kapital
basah	basah
sebijaksana	se bijaksana
terhenti	ter henti
mendetail	men detail
klorofil	klorofil
belakangku	belakang ku
dijembatani	di jembatan i
penarikan	pen tarik an
anjlok	anjlok
popoknya	popok nya
pinggang	pinggang
menyetorkan	men setor kan
menangkapnya	men tangkap nya
awet	awet
cercaan	cerca an
nonkayu	non kayu
tergenang	ter genang
sebangsaku	se bangsa aku
jatuhkan	jatuh kan
komite	komite
mencuri	men curi
seefektif	se efektif
seni	seni
junjunganku	junjung an ku
titipan	titip an
tempuh	tempuh
meratanya	men rata nya
penganggaran	pen anggar an
susukan	susu kan
diasumsikan	di asumsi kan
berkeluarga	ber keluarga
longsor	longsor
dialog	dialog
enumerasi	enumerasi
saksi	saksi
sekantung	se kantung
bapak	bapak
lorong	lorong
antarkomoditas	antar komoditas
diperlihatkan	di per lihat kan
kecilnya	kecil nya
inci	inci
tangisan	tangis an
pertengahan	per tengah an
bungkus	bungkus
legislasi	legislasi
menoleh	men toleh
menamainya	men nama i nya
kandangmu	kandang mu
sukarela	sukarela
sarangnya	sarang nya
dikaji	di kaji
pencairannya	pen cair an nya
murahnya	murah nya
mendalam	men dalam
pertanggungjawaban	per tanggungjawab an
seks	seks
tandai	tanda i
vaksin	vaksin
jadwalku	jadwal ku
mencerna	men cerna
karyanya	karya nya
konseptual	konseptual
berseru	ber seru
survey	survey
memimpin	men pimpin
mencoba	men coba
berbadan	ber badan
berdiskusi	ber diskusi
kadar	kadar
stok	stok
kombinasi	kombinasi
membinasakan	men binasa kan
suksesi	sukses i
berkendara	ber kendara
pembina	pen bina
sedahsyat	se dahsyat
warna	warna
komoditi	komoditi
infeksi	infeksi
kilo	kilo
dikoordinasikan	di koordinasi kan
makanan	makan an
pungut	pungut
menempatkannya	men tempat kan nya
mengintervensi	men intervensi
merayu	men rayu
mengadopsi	men adopsi
memangkas	men pangkas
proyeknya	proyek nya
difokuskan	di fokus kan
alunan	alun an
tambah	tambah
antrian	antri an
astronot	astronot
prospeknya	prospek nya
air	air
minyak	minyak
berada	ber ada
terselip	ter selip
membekaskan	men bekas kan
berpikiran	ber pikir an
ingini	ingin i
triwulan	triwulan
steril	steril
bangsawan	bangsa wan
telinga	telinga
menengok	men tengok
institusional	institusional
mengungkapkannya	men ungkap kan nya
berkerabat	ber kerabat
dicermati	di cermat i
memeliharaku	men pelihara aku
penjelas	pen jelas
tunangan	tunang an
memblok	men blok
menggiring	men giring
sengit	sengit
jiwanya	jiwa nya
memulangkan	men pulang kan
dibina	di bina
utamanya	utama nya
usahanya	usaha nya
sekayu	se kayu
pengrusakan	pen rusak an
menginginkanmu	men ingin kan mu
tersobek	ter sobek
prospek	prospek
bertumpu	ber tumpu
memformatnya	men format nya
sumberdayanya	sumberdaya nya
dikejar	di kejar
senin	senin
ratu	ratu
merayakannya	men raya kan nya
ketidaksuksesan	ke tidak sukses an
terbunuhnya	ter bunuh nya
reksa	reksa
wewenang	wewenang
gelandang	gelandang
inspektur	inspektur
menjadikan	men jadi kan
diserahkan	di serah kan
pemenuhan	pen penuh an
meredam	men redam
seleksi	seleksi
penenun	pen tenun
mendatanginya	men datang i nya
rajanya	raja nya
dingin	dingin
tepuk	tepuk
berhutang	ber hutang
peritel	pen ritel
petinju	pen tinju
cuci	cuci
mengkaji	men kaji
disahkan	di sah kan
diskusi	diskusi
lingkaran	lingkar an
dikepalai	di kepala i
isterinya	isteri nya
menyeringai	men seringai
penerimaan	pen terima an
bulunya	bulu nya
athena	athena
evakuasi	evakuasi
penjualannya	pen jual an nya
vakum	vakum
bakaran	bakar an
pertarungan	per tarung an
diujicobakan	di ujicoba kan
tayangan	tayang an
memberkati	men berkat i
mengendurkan	men kendur kan
digeluti	di gelut i
dinasehati	di nasehat i
ditanyakan	di tanya kan
sedihan	sedih an
memulihkan	men pulih kan
tumpang	tumpang
acak	acak
memainkan	men main kan
memperbolehkan	men boleh kan
kelompoknya	kelompok nya
tebalnya	tebal nya
refleksi	refleksi
mencapai	men capai
disinyalir	di sinyalir
dijualnya	di jual nya
selangit	se langit
bahagiaku	bahagia aku
mencakup	men cakup
terlindungi	ter lindung i
membanggakan	men bangga kan
menerobos	men terobos
label	label
stratanya	strata nya
rutinitas	rutinitas
ragu	ragu
selera	selera
metrik	metrik
dibagi	di bagi
andalkan	andal kan
buruannya	buru an nya
jauh	jauh
lintasan	lintas an
balasan	balas an
kumpulan	kumpul an
pergulatan	per gulat an
pegunungan	pegunungan
perenungan	pen renung an
parsial	parsial
meleleh	men leleh
zona	zona
terlintas	ter lintas
kedengaran	ke dengar an
semak	semak
cucunya	cucu nya
percepatan	per cepat an
nyatanya	nyata nya
mentalitas	mentalitas
miskin	miskin
kritikus	kritikus
album	album
jarang	jarang
kurangi	kurang i
penelitian	pen teliti an
terpenuhinya	men penuh i nya
membukakan	men buka kan
menceritakannya	men cerita kan nya
konsumsinya	konsumsi nya
mengambilnya	men ambil nya
menitipkan	men titip kan
merusak	men rusak
kabinet	kabinet
penopang	pen topang
penambang	pen tambang
smp	smp
pemikir	pen pikir
menetesnya	men tetes nya
misteri	misteri
berpribadi	ber pribadi
penyeleksian	pen seleksi an
menyalahkan	men salah kan
suntikan	suntik an
spontan	spontan
menjawabnya	men jawab nya
membingungkan	men bingung kan
parlemen	parlemen
privasinya	privasi nya
bercacat	ber cacat
brutonya	bruto nya
memasukannya	men pasukan nya
denpasar	denpasar
murka	murka
meluangkan	men luang kan
menggantungkan	men gantung kan
familinya	famili nya
periklanan	per iklan an
memungkinkannya	memungkinkan nya
kafir	kafir
mengukuhkan	men kukuh kan
mengabaikan	men abai kan
turis	turis
penyelundupan	pen selundup an
uluran	ulur an
berkeluh	ber keluh
dikenang	di kenang
klasiknya	klasik nya
lemahnya	lemah nya
satelit	satelit
diikuti	di ikut i
menanggung	men tanggung
mewawancarai	men wawancara i
cerah	cerah
pengunjuk	pen unjuk
diindikasikan	di indikasi kan
kebungkaman	ke bungkam an
surgawinya	surgawi nya
dekat	dekat
sup	sup
bakat	bakat
gugusan	gugus an
pencetakan	pen cetak an
berpendidikan	ber pen didik an
tumbuhan	tumbuh an
diwariskan	di waris kan
bercanda	ber canda
validasi	validasi
sertifikasi	sertifikasi
kriminal	kriminal
ringkas	ringkas
penutup	pen tutup
mendesak	men desak
pertunangan	per tunang an
mentransformasikan	men transformasi kan
mengukur	men ukur
perdanya	perda nya
disingkirkan	di singkir kan
dipercayakan	di percaya kan
didasarkan	di dasar kan
pencarian	pen cari an
diembankan	di emban kan
negarawan	negara wan
mengisahkan	men kisah kan
takuti	takut i
bertempat	ber tempat
mahabintangnya	mahabintang nya
putaran	putar an
bahan	bah an
favoritnya	favorit nya
penggelembungan	pen gelembung an
antarbidang	antar bidang
kokoh	kokoh
dialihkan	di alih kan
menaikan	men tai kan
pembangunannya	pen bangun an nya
jurusan	jurus an
semasa	se masa
memformulasikan	men formulasi kan
teladan	teladan
misalnya	misal nya
melimpahkan	men limpah kan
invasi	invasi
dikembalikan	di kembali kan
hindari	hindar i
keberadaan	keberadaan
terpolusi	ter polusi
wajah	wajah
lobi	lobi
pohon	pohon
kemukakan	kemuka kan
sedihnya	sedih nya
analisis	analisis
sepatunya	sepatu nya
dibiayai	di biaya i
pengalokasian	pen alokasi an
diteladankan	di teladan kan
terganggunya	ter ganggu nya
membaca	men baca
faktor	faktor
mengalirnya	men alir nya
undi	undi
jadwalnya	jadwal nya
rumusan	rumus an
mengkredit	men kredit
lambai	lambai
rekreasi	rekreasi
memaksa	men paksa
saudaranya	saudara nya
suruh	suruh
upacara	upacara
mengajarnya	men ajar nya
lemaknya	lemak nya
gejolak	gejolak
bunyi	bunyi
polusi	polusi
yupiter	yupiter
menaikkan	men naik kan
perhatianku	per hati an ku
etnis	etnis
murid	murid
ampas	ampas
berbahan	ber bah an
hubunganmu	hubung an mu
terpasang	ter pasang
dimotivasi	di motivasi
menyalin	men salin
pembahasan	pen bahas an
dipertanggungjawabkan	di per tanggungjawab kan
berlimpahnya	ber limpah nya
singkat	singkat
lahannya	lahan nya
sikap	sikap
ditanam	di tanam
ditempeli	di tempel i
penggunanya	pen guna nya
terorganisasi	ter organisasi
indahnya	indah nya
bertobat	ber tobat
perkara	perkara
lipatan	lipat an
menangis	men tangis
email	email
sesampainya	se sampai nya
tulisannya	tulis an nya
pangsa	pangsa
menginginkanku	men ingin kan ku
kontribusi	kontribusi
dewan	dewan
mandatnya	mandat nya
apatis	apatis
dilansir	di lansir
menyampaikan	men sampai kan
pahamnya	paham nya
kliennya	klien nya
kuotanya	kuota nya
struktural	struktural
mayoritas	mayoritas
pergi	pergi
pembedahan	pen bedah an
timbul	timbul
melekat	men lekat
pengeras	pen keras
premi	premi
firaun	firaun
menggelegar	men gelegar
membicarakannya	men bicara kan nya
berusaha	ber usaha
terbentang	ter bentang
terperinci	ter pen rinci
seharga	se harga
pembentuk	pen bentuk
benda	benda
fasilitasnya	fasilitas nya
bergirang	ber girang
dia	dia
terperhatikan	ter perhatikan
sengsara	sengsara
gejalanya	gejala nya
mengangsur	men angsur
gelombang	gelombang
menegakkannya	men tegak kan nya
perbuatanmu	per buat an mu
terjaga	ter jaga
panggang	panggang
hamil	hamil
menamakan	men nama kan
catatannya	catat an nya
menghantui	men hantu i
pertentangan	per tentang an
gua	gua
bendahara	bendahara
mengajak	men ajak
ditempatkan	di tempat kan
buang	buang
berfungsi	ber fungsi
reguler	reguler
perkawinannya	per kawin an nya
menghampiri	men hampiri
diperburuk	di per buruk
mengeluhkan	men keluh kan
nasabah	nasabah
mencuci	men cuci
hektar	hektar
logo	logo
petani	petani
dimusnahkan	di musnah kan
dinaikkan	di naik kan
munculnya	muncul nya
berlipat	ber lipat
seterusnya	se terus nya
hormat	hormat
perpustakaan	perpustakaan
menjauhkan	men jauh kan
perempuannya	perempuan nya
akibatkan	akibat kan
disisi	di sisi
dampak	dampak
agunan	agun an
sesaat	se saat
tampilkan	tampil kan
berlabuh	ber labuh
melindungi	men lindung i
buahnya	buah nya
pendelegasian	pen delegasi an
mengingatmu	men ingat mu
cadangannya	cadang an nya
mengunjungi	men kunjung i
menyiangi	men siang i
aparatnya	aparat nya
alat	alat
terperdaya	ter perdaya
perakitan	pen rakit an
singa	singa
skornya	skor nya
diupayakan	di upaya kan
memusyawarahkannya	men musyawarah kan nya
koper	koper
indah	indah
takarannya	takar an nya
enggannya	enggan nya
gawang	gawang
intimidasi	intimidasi
dosennya	dosen nya
dikukuhkan	di kukuh kan
tampungnya	tampung nya
teliti	teliti
dibayangkan	di bayang kan
pembiayaan	pen biaya an
pemeriksaan	pen periksa an
lingkungan	lingkung an
hilangnya	hilang nya
pengantar	pen antar
berkoordinasi	ber koordinasi
bikin	bikin
udara	udara
meteran	meter an
terjal	terjal
dimapankan	di mapan kan
angsurannya	angsur an nya
menggenggam	men genggam
mengurutkan	men urut kan
merenggut	men renggut
tantangannya	tantang an nya
mengimplementasi	men implementasi
antarwarga	antar warga
kesan	kesan
gigitan	gigit an
pancuran	pancur an
berkecukupan	ber ke cukup an
berkumandang	ber kumandang
lapak	lapak
bilang	bilang
penempelan	pen tempel an
matiku	mati ku
dagingku	daging ku
cap	cap
mencukupkan	men cukup kan
diampuni	di ampun i
pendapat	pen dapat
menggelora	men gelora
manis	manis
mengarahkan	men arah kan
diproses	di proses
diresmikan	di resmi kan
perdana	perdana
persoalan	per soal an
delegasi	delegasi
kubu	kubu
resepnya	resep nya
kaumnya	kaum nya
menanyai	men tanya i
generasi	generasi
diimunisasi	di imunisasi
sumur	sumur
jiwa	jiwa
makamnya	makam nya
mengkoordinasi	men koordinasi
rona	rona
bergelar	ber gelar
penambahan	pen tambah an
pendiam	pen diam
lautan	laut an
server	server
pendukungnya	pen dukung nya
menghancurkannya	men hancur kan nya
sebidang	se bidang
halal	halal
lisan	lisan
pekan	pekan
mengerti	mengerti
pengalih	pen alih
bersifat	ber sifat
domestik	domestik
kunjung	kunjung
ayahnya	ayah nya
bervariasinya	ber variasi nya
memuji	men puji
belakangmu	belakang mu
pameran	pamer an
pelelangan	pen lelang an
konser	konser
sekaleng	se kaleng
tekanan	tekan an
dimobilisasi	di mobilisasi
buah	buah
terkecil	ter kecil
mengingatkannya	men ingat kan nya
terbantahkan	ter bantah kan
diberlakukan	di ber laku kan
hamparan	hampar an
semenit	se menit
memilihnya	men pilih nya
mobilnya	mobil nya
konstituen	konstituen
bantu	bantu
memberitahunya	men beritahu nya
bangsanya	bangsa nya
urutan	urut an
bengkok	bengkok
diberitakan	di berita kan
memukul	men pukul
prancis	prancis
dimata	di mata
sampaikan	sampai kan
reporter	reporter
dicukur	di cukur
tradisional	tradisional
jenewa	jenewa
masai	masa i
melipatgandakan	men lipatganda kan
bangkrut	bangkrut
membawahi	men bawah i
pengulangan	pen ulang an
1950an	1950 an
sesamamu	se sama mu
menguasainya	men kuasa i nya
kriteria	kriteria
auditor	auditor
cabangnya	cabang nya
menghiraukan	men hirau kan
mejanya	meja nya
pertunjukannya	per tunjuk an nya
hasratnya	hasrat nya
penerus	pen terus
dikendalikan	di kendali kan
renovasinya	renovasi nya
akunting	akunting
pasien	pasien
berbenturan	ber bentur an
bibinya	bibi nya
dengarkan	dengar kan
terkhusus	ter khusus
berbaring	ber baring
memukau	men pukau
bercahaya	ber cahaya
marjinal	marjinal
berat	berat
tangannya	tangan nya
cangkang	cangkang
istilah	istilah
penggabungan	pen gabung an
dirintis	di rintis
tersendiri	ter sendiri
lengkapnya	lengkap nya
menyepakatinya	men sepakat i nya
dicontohkan	di contoh kan
diakibatkannya	di akibat kan nya
ditelepon	di telepon
lampiran	lampir an
kesempatan	kesempatan
terlewatnya	ter lewat nya
daftarkan	daftar kan
kompetensi	kompetensi
ayub	ayub
rasional	rasional
subjektivitasnya	subjektivitas nya
sorot	sorot
oposisi	oposisi
gejala	gejala
menjulang	men julang
menemani	men teman i
sama	sama
kisahnya	kisah nya
kulkas	kulkas
kurun	kurun
menengah	men tengah
tuntas	tuntas
memantau	men pantau
penindasan	pen tindas an
jangkauannya	jangkau an nya
fasilitator	fasilitator
senior	senior
pabrikan	pabrik an
melangkahkan	men langkah kan
menyingkirkan	men singkir kan
menyedihkan	men sedih kan
telaknya	telak nya
disepakati	di sepakat i
pinjam	pinjam
dipenjarakan	di penjara kan
berlangganan	ber langgan an
gantungan	gantung an
selandia	selandia
pangan	pangan
bell	bell
fluktuasi	fluktuasi
tercermin	ter cermin
deskripsi	deskripsi
bersengketa	ber sengketa
dek	dek
televisi	televisi
meletakkannya	men letak kan nya
akuntabilitas	akuntabilitas
sekelompok	se kelompok
penyejuk	pen sejuk
melantik	men lantik
diusik	di usik
israel	israel
sesali	sesal i
isterimu	isteri mu
didaur	di daur
aduk	aduk
menurunkan	men turun kan
penderita	pen derita
tubuh	tubuh
memadai	memadai
riang	riang
menekan	men tekan
menjauh	men jauh
tanggungjawab	tanggungjawab
pemanfaatnya	pen manfaat nya
pertambahan	per tambah an
jemaatnya	jemaat nya
menyajikan	men saji kan
menyiram	men siram
membencinya	men benci nya
dipinjami	di pinjam i
pekerjanya	pekerja nya
tetapnya	tetap nya
perawatannya	pen rawat an nya
didik	didik
