sepedanya	sepeda nya
frekuensinya	frekuensi nya
sari	sari
perdagangan	per dagang an
terlayani	ter layan i
dihasilkannya	di hasil kan nya
dipertanggungjawabkan	di per tanggungjawab kan
bawaan	bawa an
induknya	induk nya
upah	upah
galangan	galang an
bermuara	ber muara
cemburu	cemburu
rutinnya	rutin nya
dihargai	di harga i
pihaknya	pihak nya
menegur	men tegur
terbit	terbit
menangis	men tangis
remaja	remaja
lawan	lawan
penanggungjawab	pen tanggungjawab
gandum	gandum
larut	larut
terangkum	ter rangkum
managemen	managemen
seramai	se ramai
perlawanan	per lawan an
disita	di sita
ketidaklayakan	ke tidak layak an
mendapati	men dapat i
pengajar	pen ajar
didatangi	di datang i
kotanya	kota nya
terpikat	ter pikat
mendengarkannya	men dengar kan nya
disumbang	di sumbang
athena	athena
pengentasan	pen entas an
mengusir	men usir
tunggakan	tunggak an
kristus	kristus
tercapainya	ter capai nya
mengarah	men arah
berbulu	ber bulu
formatnya	format nya
melemahnya	men lemah nya
tomat	tomat
wawancarai	wawancara i
mengeringkan	men kering kan
tahap	tahap
berkurangnya	ber kurang nya
memerintahkannya	men perintah kan nya
berdirinya	ber diri nya
daging	daging
diurus	di urus
jarimu	jari mu
komite	komite
survei	survei
kurungan	kurung an
serang	serang
rabu	rabu
domestik	domestik
mengemban	men emban
ujarnya	ujar nya
dipersalahkan	di per salah kan
menggembala	men gembala
dijerumuskan	di jerumus kan
pacarku	pacar ku
kubu	kubu
tropis	tropis
tempuh	tempuh
didaftar	di daftar
interaksi	interaksi
jarum	jarum
kecurigaan	ke curiga an
perkawinannya	per kawin an nya
berjenjang	ber jenjang
kunjungi	kunjung i
menganggukkan	men angguk kan
tercermin	ter cermin
ilmiah	ilmiah
terperosok	terperosok
majalah	majalah
asa	asa
diperoleh	di peroleh
layak	layak
menjejak	men jejak
diperburuk	di per buruk
rata	rata
membalasnya	men balas nya
kongres	kongres
tercela	ter cela
pencakar	pen cakar
diadakannya	di ada kan nya
dihadiri	di hadir i
pengaturannya	pen atur an nya
tarif	tarif
berteriak	ber teriak
belalang	belalang
makam	makam
memasang	men pasang
penuhi	penuh i
mengeram	men eram
dipedulikan	di peduli kan
sambutan	sambut an
sumatra	sumatra
watak	watak
mencerahkan	men cerah kan
bertransaksi	ber transaksi
sentuhan	sentuh an
penimbangan	pen timbang an
dipakai	di pakai
biaya	biaya
zamannya	zaman nya
sekadarnya	se kadar nya
penggemukan	pen gemuk an
nasabah	nasabah
haus	haus
nominasi	nominasi
mengutarakan	men utara kan
berlangganan	ber langgan an
membatasinya	men batas i nya
entrinya	entri nya
kuadratnya	kuadrat nya
bayar	bayar
maju	maju
tanggung	tanggung
cerita	cerita
sutera	sutera
seyogyanya	se yogya nya
terguncang	ter guncang
memprosesnya	men proses nya
desanya	desa nya
khotbah	khotbah
semapan	se mapan
liciknya	licik nya
mendaftar	men daftar
dilandasi	di landas i
merdeka	merdeka
suruh	suruh
berharganya	ber harga nya
merosot	merosot
masuknya	masuk nya
taburkan	tabur kan
berlutut	ber lutut
capai	capai
peledak	pen ledak
melambaikan	men lambai kan
makan	makan
imanmu	iman mu
referensi	referensi
berjarak	ber jarak
sepenuh	se penuh
memutakhirkan	men mutakhir kan
mejanya	meja nya
melumpuhkannya	men lumpuh kan nya
ratap	ratap
balasannya	balas an nya
bernada	ber nada
sedekahmu	sedekah mu
cakupannya	cakup an nya
diizinkan	di izin kan
menaruhnya	men taruh nya
dikhawatirkan	di khawatir kan
realis	realis
diperbuatnya	di per buat nya
melelahkan	men lelah kan
mabuk	mabuk
singkatan	singkat an
realokasi	realokasi
diungsikan	di ungsi kan
pelantikannya	pen lantik an nya
ujar	ujar
penggunaannya	pen guna an nya
berlatar	ber latar
membungkam	men bungkam
surutnya	surut nya
kemasan	kemas an
ditelanjangi	di telanjang i
komentarnya	komentar nya
merayakannya	men raya kan nya
perlindungan	per lindung an
kriteria	kriteria
mendiversifikasi	men diversifikasi
sumber	sumber
berhutang	ber hutang
makanan	makan an
mengherankan	men heran kan
persekolahan	per sekolah an
romawi	romawi
terselubung	ter selubung
membebankan	men beban kan
ditekan	di tekan
bangsanya	bangsa nya
didokumentasikan	di dokumentasi kan
menagih	men tagih
memberlakukan	men ber laku kan
diaudit	di audit
simbol	simbol
menyadarkan	men sadar kan
jurus	jurus
taman	taman
kontrakan	kontrak an
ambulan	ambulan
bergeser	ber geser
difoto	di foto
perang	perang
hibur	hibur
memukul	men pukul
menjenguk	men jenguk
lalai	lalai
pembubaran	pen bubar an
diversifikasi	diversifikasi
pungli	pungli
melayu	melayu
rindukan	rindu kan
ilegal	ilegal
bergelut	ber gelut
pengepakan	pen kepak an
pengobatan	pen obat an
korupsi	korupsi
mempermasalahkan	men masalah kan
bercerai	ber cerai
terhalang	ter halang
mengeraskan	men keras kan
penyegaran	pen segar an
mempercepat	men cepat
kinerja	kinerja
tersesatnya	ter sesat nya
menjadwal	men jadwal
kisahnya	kisah nya
barat	barat
aksesibilitas	aksesibilitas
penyuapan	pen suap an
moto	moto
terarah	ter arah
kehendak	kehendak
keringnya	kering nya
bermurah	ber murah
mencegah	men cegah
rintangannya	rintang an nya
perampingan	pen ramping an
melanggankan	men langgan kan
mengajarinya	men ajar i nya
menggali	men gali
misalnya	misal nya
menuntun	men tuntun
penyaringan	pen saring an
aktual	aktual
penumpangan	pen tumpang an
komoditi	komoditi
diloloskan	di lolos kan
dipilihnya	di pilih nya
pembasmi	pen basmi
variabel	variabel
berinisiatif	ber inisiatif
ekstra	ekstra
aspek	aspek
akurasi	akurasi
kagum	kagum
masyarakatnya	masyarakat nya
gulungan	gulung an
rajaku	raja aku
pelempar	pen lempar
kubuang	ku buang
liriknya	lirik nya
nyamuk	nyamuk
kaidah	kaidah
dikelompokkan	di kelompok kan
menekankan	men tekan kan
hidrogen	hidrogen
perbaiki	perbaiki
terparkir	ter parkir
menyita	men sita
mengembalikan	men kembali kan
diharap	di harap
salib	salib
praktik	praktik
dusunnya	dusun nya
kolonial	kolonial
popoknya	popok nya
teguran	tegur an
editorialnya	editorial nya
penciumannya	pen cium an nya
terlupakan	ter lupa kan
menaikan	men tai kan
dirumahkan	di rumah kan
selidiki	selidik i
terpuruk	ter puruk
daftar	daftar
disenangi	di senang i
aksara	aksara
rasial	rasial
kunyah	kunyah
memajang	men pajang
mengikutinya	men ikut i nya
ditelan	di telan
pinjam	pinjam
ditelaah	di telaah
pengunduran	pen undur an
arena	arena
terperangkap	ter pen rangkap
pemelihara	pen pelihara
juruselamatku	juruselamat ku
mengekspor	men ekspor
banknya	bank nya
diikutkan	di ikut kan
pemiliknya	pen milik nya
diserahkan	di serah kan
berujar	ber ujar
pengemis	pen kemis
jawabku	jawab ku
bergantung	ber gantung
penjaminnya	pen jamin nya
diletakkan	di letak kan
aksi	aksi
kabarnya	kabar nya
mengangkut	men angkut
argumen	argumen
dikenakan	di kena kan
meksiko	meksiko
berpasir	ber pasir
memperlancar	men lancar
asrama	asrama
kerinduannya	ke rindu an nya
pemberkatan	pen berkat an
terlaksananya	ter laksana nya
pengubah	pen ubah
uluran	ulur an
pohonnya	pohon nya
penerapannya	pen terap an nya
menyebabkannya	men sebab kan nya
menggerutu	men gerutu
pemantapan	pen mantap an
angka	angka
darurat	darurat
bertetangga	ber tetangga
usia	usia
struktur	struktur
terdaftar	ter daftar
amarahnya	amarah nya
pengantarnya	pen antar nya
bertambah	ber tambah
disiarkan	di siar kan
melacak	men lacak
mainkan	main kan
cukai	cuka i
pengelompokan	pen kelompok an
bersintesis	ber sintesis
diberlakukannya	di ber laku kan nya
antarinstansi	antar instansi
penampung	pen tampung
alat	alat
dendam	dendam
pertimbangan	per timbang an
menunda	men tunda
kejatuhannya	ke jatuh an nya
gardu	gardu
keluarganya	keluarga nya
berdedikasi	ber dedikasi
dikenai	di kena i
asam	asam
selangit	se langit
ditugaskan	di tugas kan
memikul	men pikul
darah	darah
melempar	men lempar
didengar	di dengar
terisolasi	ter isolasi
pengumumannya	pen umum an nya
tersisih	ter sisih
nonfisik	non fisik
rekaan	reka an
dipisahkan	di pisah kan
rumah	rumah
kliring	kliring
tertawa	ter tawa
arteri	arteri
disalurkan	di salur kan
mewarisi	men waris i
digembalakan	di gembala kan
tertawaan	ter tawa an
mekanik	mekanik
antarkota	antar kota
maksudkan	maksud kan
mendua	men dua
berbahan	ber bah an
penyelidikan	pen selidik an
pelestarian	pen lestari an
terbentuk	ter bentuk
model	model
minimal	minimal
aspirasi	aspirasi
kekasihnya	kekasih nya
menyemangatinya	men semangat i nya
sebagus	se bagus
berkurang	ber kurang
dipaparkan	di papar kan
klasik	klasik
dieksekusi	di eksekusi
cerai	cerai
paten	paten
penguatan	pen kuat an
tungku	tungku
direktorat	direktorat
mengetuk	men ketuk
terhebat	ter hebat
lihat	lihat
bagian	bagi an
penampilan	pen tampil an
baterai	baterai
ayu	ayu
membeberkan	men beber kan
pacuan	pacu an
mentimun	mentimun
adonan	adon an
tuju	tuju
diorganisasi	di organisasi
bapak	bapak
regenerasi	regenerasi
berteduh	ber teduh
tetap	tetap
terjatuh	ter jatuh
memperindah	men indah
pelaksanaannya	pen laksana an nya
dicoba	di coba
preminya	premi nya
lengan	lengan
memeluk	men peluk
pucuk	pucuk
dimintakan	di minta kan
memunculkan	men muncul kan
tuanmu	tuan mu
dimaksudkan	di maksud kan
dikehendaki	di kehendak i
kekalnya	kekal nya
dipahami	di paham i
promosi	promosi
penalarannya	pen nalar an nya
mencatatkan	men catat kan
daftarnya	daftar nya
alamiah	alamiah
dikombinasikan	di kombinasi kan
pekerjaan	pekerja an
memperjuangkan	men juang kan
kenakan	kena kan
relatifnya	relatif nya
antarpasangan	antar pasang an
dipersulit	di per sulit
merekatkan	men rekat kan
balita	balita
teman	teman
berinteraksi	ber interaksi
jarak	jarak
sifatnya	sifat nya
menyimpang	men simpang
mengimpor	men impor
komersil	komersil
berencana	ber rencana
penggratisan	pen gratis an
merampas	men rampas
pemutakhiran	pen mutakhir an
cerdas	cerdas
memarkir	men parkir
berendam	ber rendam
berlumpur	ber lumpur
asumsinya	asumsi nya
silam	silam
penunjukan	pen tunjuk an
nonmiskin	nonmiskin
kesempatan	kesempatan
kilang	kilang
pembibitan	pen bibit an
dikunjunginya	di kunjung i nya
penyesalan	pen sesal an
dirumahmu	di rumah mu
gilanya	gila nya
restrukturisasi	restrukturisasi
kecenderungan	kecenderungan
ditambahkannya	di tambah kan nya
diderita	di derita
gubernurnya	gubernur nya
pengusahaan	pen usaha an
ditembak	di tembak
mengambilkan	men ambil kan
memasukannya	men pasukan nya
membacanya	men baca nya
pipi	pipi
tempel	tempel
hancurnya	hancur nya
direkam	di rekam
dikeraskan	di keras kan
niatan	niat an
penyejuk	pen sejuk
diubahkan	di ubah kan
memprotes	men protes
bakti	bakti
aniaya	aniaya
independent	independent
kuyakini	ku yakin i
rekan	rekan
materinya	materi nya
depkes	depkes
kuota	kuota
ironisnya	ironis nya
melambangkan	men lambang kan
leganya	lega nya
memenangi	men menang i
penghasilan	pen hasil an
mogok	mogok
mengarahkannya	men arah kan nya
dibatalkan	di batal kan
dipadati	di padat i
memadai	memadai
terjaganya	ter jaga nya
mengosongkan	men kosong kan
mencobanya	men coba nya
penanggung	pen tanggung
diterapkan	di terap kan
membodohi	men bodoh i
terpajang	ter pajang
kritis	kritis
diakumulasikannya	di akumulasi kan nya
ujung	ujung
nutrisi	nutrisi
mereview	men review
memikulmu	men pikul mu
putusan	putus an
curang	curang
sebal	sebal
proyeknya	proyek nya
konvensi	konvensi
datanya	data nya
dinegosiasikan	di negosiasi kan
steril	steril
dimengerti	di mengerti
injeksikan	injeksi kan
selebar	se lebar
pergolakan	per golak an
digunakan	di guna kan
terhitung	ter hitung
tegak	tegak
hayati	hayat i
memelihara	men pelihara
hak	hak
konsentrasi	konsentrasi
adam	adam
arus	arus
dilatihnya	di latih nya
adikku	adik ku
dibutuhkannya	di butuh kan nya
hurufnya	huruf nya
ucapan	ucap an
santun	santun
pengorganisasian	pen organisasi an
kumuh	kumuh
berpikiran	ber pikir an
rinci	rinci
terpopuler	ter populer
menyusut	men susut
sertifikasi	sertifikasi
delima	delima
batalkan	batal kan
belajar	belajar
talenta	talenta
menumpasnya	men tumpas nya
melihat	men lihat
membicarakannya	men bicara kan nya
bersenjatakan	ber senjata kan
pembangkit	pen bangkit
serap	serap
kaos	kaos
alot	alot
dilalui	di lalu i
kode	kode
menjuarai	men juara i
diasumsikan	di asumsi kan
penyimpangan	pen simpang an
pendanaannya	pen dana an nya
dipimpin	di pimpin
ketidaksuburan	ke tidak subur an
sanksinya	sanksi nya
tahunnya	tahun nya
melenceng	men lenceng
ditulisnya	di tulis nya
ternak	ternak
pemutakhirannya	pen mutakhir an nya
berartinya	ber arti nya
komplain	komplain
negatif	negatif
isterimu	isteri mu
diklaim	di klaim
primer	primer
sekecil	se kecil
juru	juru
memprioritaskan	men prioritas kan
asin	asin
pusing	pusing
mempersembahkan	men sembah kan
menyebabkan	men sebab kan
menjatuhi	men jatuh i
ditransaksikan	di transaksi kan
ditiadakan	di tiada kan
percayai	percaya i
mengindahkan	men indah kan
tundukkan	tunduk kan
mengoreksi	men koreksi
lapar	lapar
mengakhiri	men akhir i
minim	minim
televisi	televisi
belalai	belalai
gelandangan	gelandang an
bulunya	bulu nya
misinya	misi nya
rekapitulasi	rekapitulasi
diobservasi	di observasi
musuhnya	musuh nya
berpuasa	ber puasa
belasan	belas an
penjelas	pen jelas
pilihan	pilih an
penahan	pen tahan
pulih	pulih
membenci	men benci
menyanyi	men nyanyi
tubuhnya	tubuh nya
bertempat	ber tempat
jubahnya	jubah nya
penguasaan	pen kuasa an
cincin	cincin
amal	amal
sma	sma
berkelahi	ber kelahi
disisi	di sisi
laksana	laksana
menjanda	men janda
pembuangan	pen buang an
setulusnya	se tulus nya
timbangannya	timbang an nya
menikahinya	men nikah i nya
firdaus	firdaus
pencair	pen cair
ajaran	ajar an
diumumkan	di umum kan
maret	maret
diluncurkan	di luncur kan
usang	usang
mewaspadai	men waspada i
membesarkan	men besar kan
kucingnya	kucing nya
adik	adik
bersentuhan	ber sentuh an
tegar	tegar
menerjemahkan	men terjemah kan
anggukan	angguk an
mengajukannya	men aju kan nya
kreatif	kreatif
muhammad	muhammad
firman	firman
menemaninya	men teman i nya
membungkus	men bungkus
timnya	tim nya
perangnya	perang nya
halaman	halaman
harap	harap
menyiapkan	men siap kan
penerimanya	pen terima nya
bersimpati	ber simpati
peninggalan	pen tinggal an
memperbincangkan	men bincang kan
memanipulasi	men manipulasi
ditutup	di tutup
lurus	lurus
membohongi	men bohong i
diperbuat	di per buat
tes	tes
mengimbangi	men imbang i
dikaburkan	di kabur kan
pergumulan	per gumul an
dibakar	di bakar
berbahagia	ber bahagia
mengecil	men kecil
ditimbulkan	di timbul kan
instansi	instansi
dinikahkan	di nikah kan
terkasih	ter kasih
lentur	lentur
kemajuannya	ke maju an nya
alias	alias
bertindak	ber tindak
pria	pria
dijadwalkan	di jadwal kan
berwawasan	ber wawasan
almamaternya	almamater nya
wangi	wangi
penggugah	pen gugah
mencacah	men cacah
meredam	men redam
nondepartemen	non departemen
mudahnya	mudah nya
dicocokkan	di cocok kan
berkarat	ber karat
hawa	hawa
pangan	pangan
perkumpulan	per kumpul an
pikiran	pikir an
tangan	tangan
kepalamu	kepala mu
antipesawat	anti pesawat
mencurinya	men curi nya
diabaikan	di abai kan
mengejutkan	men kejut kan
merawat	men rawat
lamaran	lamar an
dijumpai	di jumpa i
menguntungkan	men untung kan
memproyeksikan	men proyeksi kan
berkemungkinan	ber kemungkinan
majikan	majikan
dibuatkannya	di buat kan nya
antikristus	anti kristus
panjangnya	panjang nya
jawab	jawab
ditulisi	di tulis i
memiliki	men milik i
ekspansi	ekspansi
memesan	men pesan
pengasingan	pen asing an
mengambilnya	men ambil nya
bermata	ber mata
koran	koran
mendaur	men daur
pergeseran	per geser an
kutukan	kutuk an
mengatasi	men atas i
foto	foto
menjembatani	men jembatan i
ditunjukkan	di tunjuk kan
diketik	di ketik
malam	malam
menjulurkan	men julur kan
selamat	selamat
familinya	famili nya
takjub	takjub
label	label
pertanian	per tani an
rambut	rambut
burung	burung
terserap	ter serap
milyaran	milyar an
memotong	men potong
dibawahinya	di bawah i nya
curahan	curah an
agungnya	agung nya
keikutsertaan	ke ikutserta an
membentang	men bentang
agamanya	agama nya
panti	panti
menumbuhkan	men tumbuh kan
klien	klien
bangkit	bangkit
merealokasikan	men realokasi kan
federal	federal
ketidakpatuhan	ke tidak patuh an
antartempat	antar tempat
penyisihan	pen sisih an
resminya	resmi nya
antarteman	antar teman
realitas	realitas
teliti	teliti
dihormatinya	di hormat i nya
berupa	ber rupa
seporsi	se porsi
muatan	muat an
pendam	pendam
pohon	pohon
diciumnya	di cium nya
favoritnya	favorit nya
yakini	yakin i
butir	butir
berakal	ber akal
deregulasi	deregulasi
melampaui	men lampau i
didasari	di dasar i
menyukseskan	men sukses kan
rahmat	rahmat
memulihkannya	men pulih kan nya
dibiayai	di biaya i
memurnikan	men murni kan
emosinya	emosi nya
wajib	wajib
dibenci	di benci
melekatnya	men lekat nya
dipresentasikan	di presentasi kan
administratifnya	administratif nya
tuhan	tuhan
bentuk	bentuk
renovasinya	renovasi nya
tunggu	tunggu
bernuansa	ber nuansa
berenang	ber renang
terhutang	ter hutang
nasional	nasional
diperdamaikan	di per damai kan
lintasan	lintas an
pepohonan	pepohonan
rambutan	rambut an
sektarian	sektarian
terpanjang	ter panjang
cengkehnya	cengkeh nya
natur	natur
penuntutan	pen tuntut an
kaget	kaget
memberitahu	men beritahu
menorehkan	men toreh kan
terdiri	ter diri
memantulkan	men pantul kan
saldo	saldo
diambilkan	di ambil kan
parameter	parameter
antarwaktu	antar waktu
berlayar	ber layar
antusiasme	antusiasme
mandi	mandi
pakunya	paku nya
raja	raja
bentukan	bentuk an
menanggapinya	men tanggap i nya
kemukakan	kemuka kan
mengukurkan	men ukur kan
minumannya	minum an nya
jati	jati
fakultas	fakultas
kebunnya	kebun nya
tertahankan	ter tahan kan
pembaruannya	pen baru an nya
hatimu	hati mu
terburuk	ter buruk
singapura	singapura
jutaan	juta an
pembesar	pen besar
kakiku	kaki ku
diberitahukan	di beritahu kan
pertaruhan	per taruh an
merubuhkan	men rubuh kan
pembicara	pen bicara
terputus	ter putus
penerbangan	pen terbang an
silang	silang
bekal	bekal
perpisahannya	per pisah an nya
melupakan	men lupa kan
kuncinya	kunci nya
pembongkaran	pen bongkar an
memetik	men petik
tinjauan	tinjau an
ditabrakkan	di tabrak kan
diperbesar	di per besar
silakan	silakan
bersalju	ber salju
pulau	pulau
ditahan	di tahan
cita	cita
penyempitan	pen sempit an
mengintegrasikan	men integrasi kan
terbaik	ter baik
mempunyai	men punya i
melarang	men larang
galeri	galeri
faktor	faktor
sejuk	sejuk
diberikan	di beri kan
menggembirakan	men gembira kan
pikirannya	pikir an nya
mengadukan	men adu kan
karakteristik	karakteristik
mendampingi	men damping i
pendengar	pen dengar
ingatan	ingat an
menggagas	men gagas
dilangsungkan	di langsung kan
kirim	kirim
mengutamakan	men utama kan
bakat	bakat
setangkai	se tangkai
mengadopsi	men adopsi
setujui	setuju i
merogoh	men rogoh
tikar	tikar
menghubungkannya	men hubung kan nya
kemungkinan	kemungkinan
serangan	serang an
rambutmu	rambut mu
mentalitas	mentalitas
lucu	lucu
menggulung	men gulung
perceraiannya	per cerai an nya
wortel	wortel
penjualannya	pen jual an nya
menuntunnya	men tuntun nya
menaatinya	men taat i nya
bergulingan	ber guling an
direvisi	di revisi
tujukan	tuju kan
mencairnya	men cair nya
mengejek	men ejek
hulu	hulu
ditanggung	di tanggung
sedarah	se darah
dijelaskan	di jelas kan
pengusulan	pen usul an
dililiti	di lilit i
panitia	panitia
gosip	gosip
akta	akta
ditaruhnya	di taruh nya
gas	gas
kepemimpinannya	kepemimpinan nya
penggaris	pen garis
memasok	men pasok
negara	negara
kanada	kanada
seakurat	se akurat
jajaran	jajar an
uap	uap
cahaya	cahaya
salahnya	salah nya
perdata	perdata
unggul	unggul
bidikan	bidik an
difasilitasi	di fasilitas i
dituakan	di tua kan
ditelepon	di telepon
menggantikannya	men ganti kan nya
suaranya	suara nya
bergirang	ber girang
korup	korup
arab	arab
eksklusif	eksklusif
pidato	pidato
berkat	berkat
payahmu	payah mu
persaudaraan	per saudara an
kami	kami
menyembuhkan	men sembuh kan
hakekat	hakekat
dikendorkan	di kendor kan
mengelabui	men kelabui
rohnya	roh nya
nyeri	nyeri
memikirkan	men pikir kan
tontonan	tonton an
paket	paket
pengirimannya	pen kirim an nya
dihimpun	di himpun
sesuainya	sesuai nya
pernyataan	per nyata an
menanggulanginya	men tanggulang i nya
mengucapkannya	men ucap kan nya
relevansinya	relevansi nya
menelaah	men telaah
mengirimkan	men kirim kan
sepihak	se pihak
daunnya	daun nya
gaji	gaji
ikut	ikut
jendela	jendela
penggundulan	pen gundul an
menamakan	men nama kan
tercantum	ter cantum
lawatan	lawatan
pengguna	pen guna
anjing	anjing
ramainya	ramai nya
mengerti	mengerti
kokoh	kokoh
tercoreng	ter coreng
pemadam	pen madam
validitas	validitas
penagihan	pen tagih an
sensor	sensor
ratapan	ratap an
dituangkan	di tuang kan
ditimpa	di timpa
kadar	kadar
mengulangnya	men ulang nya
antardesanya	antar desa nya
sensasi	sensasi
panggung	panggung
karet	karet
konteks	konteks
kakinya	kaki nya
dirobek	di robek
dihantam	di hantam
dengarkan	dengar kan
pemungutan	pen pungut an
bbm	bbm
polos	polos
membimbing	men bimbing
situasinya	situasi nya
anjuran	anjur an
penginjilan	pen injil an
dicakup	di cakup
lautnya	laut nya
nasibnya	nasib nya
rw	rw
hampa	hampa
pundi	pundi
penunjang	pen tunjang
pendelegasian	pen delegasi an
umat	umat
tepatnya	tepat nya
bapanya	bapa nya
kaum	kaum
akomodasi	akomodasi
berguna	ber guna
kebutuhannya	ke butuh an nya
terhormat	ter hormat
sebanyak	se banyak
harganya	harga nya
menua	men tua
lampiran	lampir an
mengorganisasikan	men organisasi kan
naungan	naung an
udara	udara
darahnya	darah nya
sepatu	sepatu
mematikan	men mati kan
marinir	marinir
mengelilingi	men keliling i
diduga	di duga
terpanggil	ter panggil
dukun	dukun
ubah	ubah
disuntik	di suntik
berani	berani
dilupakan	di lupa kan
bergunanya	ber guna nya
bilangan	bilang an
rate	rate
emosi	emosi
menggenggam	men genggam
miskinnya	miskin nya
wajah	wajah
dipilihkan	di pilih kan
mewariskan	men waris kan
mengutusnya	men utus nya
konser	konser
memancarkan	men pancar kan
pengetahuan	pengetahuan
penguburan	pen kubur an
riba	riba
pelindung	pen lindung
mual	mual
menjangkau	men jangkau
konstruksi	konstruksi
jurnalisme	jurnalisme
umumnya	umum nya
bermainnya	ber main nya
diagnosa	diagnosa
kau	kau
hasilnya	hasil nya
membuat	men buat
acara	acara
rintisan	rintis an
pengasuhan	pen asuh an
selektif	selektif
pola	pola
dunianya	dunia nya
berdinding	ber dinding
pengurangan	pen kurang an
kebalikan	ke balik an
dipadukan	di padu kan
tembakan	tembak an
prestise	prestise
efisiensinya	efisiensi nya
dipanggang	di panggang
kas	kas
bingung	bingung
sangkakala	sangkakala
berlaga	ber laga
diperingatkan	di per ingat kan
menjelekkan	men jelek kan
terbayar	ter bayar
menggenapi	men genap i
dihimbau	di himbau
gelanggang	gelanggang
lahannya	lahan nya
dikumpulkan	di kumpul kan
populasi	populasi
punggungnya	punggung nya
riilnya	riil nya
ditinggalkannya	di tinggal kan nya
menyederhanakan	men sederhana kan
berhentinya	ber henti nya
menghapuskan	men hapus kan
berhiaskan	ber hias kan
dilanjutkan	di lanjut kan
membesar	men besar
intimidasi	intimidasi
menggosokkan	men gosok kan
distributor	distributor
berjasa	ber jasa
menurunkan	men turun kan
periklanan	per iklan an
perumahan	pen rumah an
dididik	di didik
gugusan	gugus an
skema	skema
asistennya	asisten nya
termahal	ter mahal
pertunjukannya	per tunjuk an nya
direformasi	di reformasi
melegakan	men lega kan
pelita	pelita
isolasi	isolasi
jiwaku	jiwa aku
hobi	hobi
natal	natal
bak	bak
bidikannya	bidik an nya
penargetan	pen target an
taksir	taksir
defensif	defensif
ajang	ajang
brasil	brasil
menurunkannya	men turun kan nya
absennya	absen nya
dipublikasikan	di publikasi kan
konkret	konkret
kira	kira
konsolidasi	konsolidasi
menerpanya	men terpa nya
kabut	kabut
berdagang	ber dagang
konteksnya	konteks nya
ketidakstabilan	ke tidak stabil an
anggur	anggur
mendanai	men dana i
memukau	men pukau
mustahil	mustahil
alumninya	alumni nya
petugas	petugas
mengidap	men idap
mendasari	men dasar i
sedunia	se dunia
tabrak	tabrak
penjahit	pen jahit
dipetik	di petik
memperolehnya	men peroleh nya
pai	pai
porsi	porsi
melampirkan	men lampir kan
verifikasinya	verifikasi nya
berbukit	ber bukit
berkantor	ber kantor
presiden	presiden
menyalurkannya	men salur kan nya
teologiku	teologi ku
dikembalikannya	di kembali kan nya
bersinggungan	ber singgung an
salah	salah
terlaksana	ter laksana
ayub	ayub
menjerat	men jerat
dicermati	di cermat i
penyelesaiannya	pen selesai an nya
pemilu	pemilu
penggenapannya	pen genap an nya
awak	awak
lutut	lutut
melantik	men lantik
pemisahan	pen pisah an
musikal	musikal
pelaporan	pen lapor an
rubuh	rubuh
jamak	jamak
kalender	kalender
berwibawa	ber wibawa
ditekel	di tekel
tersihir	ter sihir
ui	ui
fasik	fasik
intensitas	intensitas
berkendara	ber kendara
sejumlah	se jumlah
protes	protes
maksud	maksud
mencicipi	men cicip i
apartemen	apartemen
memedomani	men pedoman i
tersendiri	ter sendiri
pembimbing	pen bimbing
datar	datar
menjejali	men jejal i
prosedural	prosedural
berganti	ber ganti
terganggunya	ter ganggu nya
permasyarakatan	per masyarakat an
menjelaskannya	men jelas kan nya
menimpa	men timpa
mengikutkan	men ikut kan
menggoyahkan	men goyah kan
anu	anu
memacunya	men pacu nya
pengecer	pen ecer
pergumulannya	per gumul an nya
terelakkan	ter elak kan
mempersoalkannya	men soal kan nya
menguraikan	men urai kan
kabur	kabur
pemblokiran	pen blokir an
bakaran	bakar an
mengutuk	men kutuk
dampak	dampak
mentah	mentah
nopember	nopember
diperkenan	di per kenan
urusan	urus an
menghiasi	men hias i
bersaudara	ber saudara
etis	etis
pekan	pekan
inspektur	inspektur
jejak	jejak
menginvestasikan	men investasi kan
ketidakseragaman	ke tidak seragam an
kontrak	kontrak
dialokasi	di alokasi
balasan	balas an
perekat	pen rekat
dibiaya	di biaya
demobilisasi	demobilisasi
haluan	halu an
kotorannya	kotor an nya
pribadinya	pribadi nya
teringat	ter ingat
peminjaman	pen pinjam an
sosis	sosis
analisisnya	analisis nya
pemimpin	pen pimpin
memperhadapkan	men hadap kan
dibuang	di buang
wajahnya	wajah nya
hebat	hebat
konsekuensi	konsekuensi
dipengaruhi	di pengaruh i
margasatwa	margasatwa
buka	buka
ditandatangani	di tandatangan i
penganggaran	pen anggar an
matinya	mati nya
diagendakan	di agenda kan
naik	naik
karpet	karpet
pewaris	pen waris
baku	baku
dibubarkannya	di bubar kan nya
takluk	takluk
ketidakadilan	ke tidak adil an
dibuatkan	di buat kan
polisi	polisi
pergi	pergi
meratapi	men ratap i
merawati	men rawat i
katamu	kata mu
berdomisili	ber domisili
koperasinya	koperasi nya
representasi	representasi
perpustakaan	perpustakaan
kamarmu	kamar mu
topinya	top i nya
memperingatkan	men ingat kan
menggiring	men giring
privat	privat
dianggap	di anggap
merapat	men rapat
investigasinya	investigasi nya
elpiji	elpiji
cemas	cemas
diwariskan	di waris kan
persamaan	per sama an
klorofilnya	klorofil nya
berurusan	ber urus an
damai	damai
bersasaran	ber sasar an
disebarkan	di sebar kan
