nontarif	non tarif
tungku	tungku
terkorup	ter korup
musuhmu	musuh mu
serigala	serigala
menjatahkan	men jatah kan
mempertanyakan	men tanya kan
apatis	apatis
jaksa	jaksa
ketidakpahaman	ke tidak paham an
nutrisi	nutrisi
mengontak	men kontak
geografisnya	geografis nya
meremajakannya	men remaja kan nya
ajalnya	ajal nya
ditindaklanjuti	di tindaklanjut i
pelan	pelan
bedah	bedah
penyatuan	pen satu an
menuntut	men tuntut
penerapannya	pen terap an nya
syair	syair
selangit	se langit
maksimalnya	maksimal nya
menggema	men gema
ditumpuk	di tumpuk
barang	barang
jalinan	jalin an
pelanggannya	pen langgan nya
sunyi	sunyi
perbanyakan	per banyak an
uraian	urai an
terwujud	ter wujud
nonaset	non aset
dikekang	di kekang
belalai	belalai
cadangan	cadang an
naturnya	natur nya
bangkit	bangkit
diambilkan	di ambil kan
dipanggil	di panggil
penetapannya	pen tetap an nya
paham	paham
penunjang	pen tunjang
membatalkan	men batal kan
pengangguran	pen anggur an
adu	adu
dielaborasi	di elaborasi
diperparah	di per parah
beradik	ber adik
pengajarannya	pen ajar an nya
remaja	remaja
diminta	di minta
bangunannya	bangun an nya
pemberitaannya	pen berita an nya
digariskan	di garis kan
sejalan	se jalan
ketidaklengkapan	ke tidak lengkap an
pesatnya	pesat nya
diperlukan	di perlu kan
coraknya	corak nya
didasari	di dasar i
terapkan	terap kan
bijaksana	bijaksana
menghentikannya	men henti kan nya
mengkreditnya	men kredit nya
merusakkannya	men rusak kan nya
ketidakselarasan	ke tidak selaras an
bayangannya	bayang an nya
memproduksi	men produksi
terpelihara	ter pelihara
jujur	jujur
mengemban	men emban
flint	flint
kelasnya	kelas nya
pendukungnya	pen dukung nya
biji	biji
bandung	bandung
meluas	men luas
ilmu	ilmu
kapal	kapal
penanganannya	pen tangan an nya
memaafkan	men maaf kan
penerus	pen terus
diakses	di akses
ditendang	di tendang
berkendaraan	ber kendara an
bergulingan	ber guling an
mengendalikan	men kendali kan
penakut	pen takut
unggulan	unggul an
pembuktian	pen bukti an
tubuhnya	tubuh nya
menyaingi	men saing i
dibayar	di bayar
menceburkan	men cebur kan
lontarkan	lontar kan
tambang	tambang
pembajakan	pen bajak an
membalikkannya	men balik kan nya
hakekatnya	hakekat nya
membayangkan	men bayang kan
perhiasan	per hias an
romawi	romawi
melihatnya	men lihat nya
armada	armada
matanya	mata nya
mendongkrak	men dongkrak
disabotase	di sabotase
menggemparkan	men gempar kan
koordinator	koordinator
bosnya	bos nya
kampusnya	kampus nya
realisasi	realisasi
memikulnya	men pikul nya
didikan	didik an
pengikatan	pen ikat an
berbentuk	ber bentuk
melangkah	men langkah
penganut	pen anut
susahnya	susah nya
prestasinya	prestasi nya
inovasi	inovasi
terkunci	ter kunci
dibatalkan	di batal kan
mengudara	men udara
pendistribusian	pen distribusi an
melempar	men lempar
menyinggung	men singgung
mencermatinya	men cermat i nya
citranya	citra nya
sebutan	sebut an
permulaannya	per mula an nya
argumen	argumen
diimplementasikan	di implementasi kan
fokus	fokus
firdaus	firdaus
antusiasmenya	antusiasme nya
merosot	merosot
diklaim	di klaim
ilahi	ilahi
cairan	cair an
menggadaikan	men gadai kan
keterampilannya	keterampilan nya
seksi	seks i
menyatukan	men satu kan
kubur	kubur
bersusah	ber susah
mengutuknya	men kutuk nya
bersalju	ber salju
stratanya	strata nya
baiknya	baik nya
dilalui	di lalu i
mendisiplinkan	men disiplin kan
rawat	rawat
terompet	terompet
berserakan	ber serak an
tabrakan	tabrak an
seni	seni
dilemparkan	di lempar kan
persidangan	per sidang an
diboboli	di bobol i
antarjenjang	antar jenjang
diubah	di ubah
menjembatani	men jembatan i
perisai	perisai
terserah	ter serah
goyah	goyah
pesanan	pesan an
perobohan	pen roboh an
menentu	men tentu
integritasnya	integritas nya
stagnan	stagnan
dibina	di bina
digilir	di gilir
menerpanya	men terpa nya
penyanyi	pen nyanyi
berbekal	ber bekal
menempati	men tempat i
berhubungan	ber hubung an
penagihan	pen tagih an
kafir	kafir
didirikan	di diri kan
menindaklanjutinya	men tindaklanjut i nya
campur	campur
mengarungi	men karung i
infeksi	infeksi
bersiul	ber siul
menaklukkan	men takluk kan
purbakala	purbakala
susunan	susun an
mengungkapkan	men ungkap kan
menunjukkan	men tunjuk kan
dinginnya	dingin nya
domestik	domestik
meneladani	men teladan i
damaskus	damaskus
ambang	ambang
kiriman	kirim an
setir	setir
meleleh	men leleh
merawati	men rawat i
serinci	se rinci
pakar	pakar
bahan	bah an
protein	protein
tulisannya	tulis an nya
menggemakan	men gema kan
lokal	lokal
menjatuhkan	men jatuh kan
ketidakakuratan	ke tidak akurat an
memonopoli	men monopoli
dijajaki	di jajak i
mutlak	mutlak
wawasan	wawasan
migrasi	migrasi
terutama	ter utama
terlebih	ter lebih
pakaian	pakai an
pembicara	pen bicara
mekanisme	mekanisme
vulkanik	vulkanik
ikutan	ikut an
mencarikan	men cari kan
dimekarkan	di mekar kan
ikan	ikan
perbintangan	per bintang an
berjumpa	ber jumpa
searah	se arah
tanam	tanam
pelaporan	pen lapor an
beralih	ber alih
tembak	tembak
injeksikan	injeksi kan
dipelihara	di pelihara
satuan	satu an
katalis	katalis
kayuh	kayuh
marinir	marinir
memperdamaikan	men damai kan
ajakan	ajak an
nuraninya	nurani nya
menaiki	men naik i
mencurangi	men curang i
versi	versi
murahnya	murah nya
properti	properti
mainnya	main nya
pengentasan	pen entas an
pengertian	pengertian
pembimbing	pen bimbing
doa	doa
pemanfaatnya	pen manfaat nya
pesawatnya	pesawat nya
pangkat	pangkat
profil	profil
skandalnya	skandal nya
mendesaknya	men desak nya
terima	terima
menikahi	men nikah i
menginformasikan	men informasi kan
tertabrak	ter tabrak
baku	baku
diabaikan	di abai kan
menundukkan	men tunduk kan
tombol	tombol
mewaspadai	men waspada i
eksperimen	eksperimen
pemburu	pen buru
persembahan	per sembah an
terpajangnya	ter pajang nya
bilik	bilik
diperantarai	di perantara i
dijelang	di jelang
penggembala	pen gembala
lebih	lebih
truk	truk
pemurah	pen murah
bertalian	ber tali an
tempatnya	tempat nya
meminimalisasi	men minimalisasi
diperdamaikan	di per damai kan
dasar	dasar
mempertaruhkan	men taruh kan
mendasari	men dasar i
divonis	di vonis
dirindukan	di rindu kan
merapi	men rapi
tertutup	ter tutup
prasarananya	prasarana nya
penyisihan	pen sisih an
menerobos	men terobos
anugerah	anugerah
mengenakannya	men kena kan nya
pengelola	pen kelola
pelik	pelik
memobilisasi	men mobilisasi
nampak	nampak
dikaburkan	di kabur kan
meletihkan	men letih kan
kumulatif	kumulatif
purba	purba
kananmu	kanan mu
dibuka	di buka
dapatkan	dapat kan
majelis	majelis
instan	instan
lahannya	lahan nya
ganjaran	ganjar an
mendatangkan	men datang kan
ditangkap	di tangkap
pemilih	pen pilih
mengabdikan	men abdi kan
kaget	kaget
hamba	hamba
pesannya	pesan nya
pembukuannya	pen buku an nya
jiwa	jiwa
sebatas	se batas
menghimpun	men himpun
ambulan	ambulan
jalanya	jala nya
membimbing	men bimbing
penghasil	pen hasil
napas	napas
uu	uu
langganan	langgan an
berprinsip	ber prinsip
sewajarnya	se wajar nya
unsur	unsur
perseroan	perseroan
bermusuhan	ber musuh an
berpenampilan	ber pen tampil an
bermurah	ber murah
kajian	kaji an
penjangkauan	pen jangkau an
dimintai	di minta i
tentaranya	tentara nya
bibir	bibir
mengatasi	men atas i
penjaja	pen jaja
proyeknya	proyek nya
perumahan	pen rumah an
jabodetabek	jabodetabek
pendeta	pendeta
menembak	men tembak
pekan	pekan
mengenal	men kenal
tungkunya	tungku nya
sumbangannya	sumbang an nya
penerapan	pen terap an
bajakan	bajak an
salju	salju
berbahasa	ber bahasa
rekornya	rekor nya
lintas	lintas
diijinkan	di ijin kan
dicakup	di cakup
menugaskan	men tugas kan
terpenuhinya	men penuh i nya
gandum	gandum
distribusi	distribusi
manufaktur	manufaktur
memerangi	men perang i
bagusnya	bagus nya
dominan	dominan
menkeu	menkeu
ubah	ubah
diajukannya	di aju kan nya
terdistribusi	ter distribusi
berpindah	ber pindah
dialihkan	di alih kan
tatapan	tatap an
dipercayai	di percaya i
multinasional	multinasional
menggagas	men gagas
antri	antri
menjauhkan	men jauh kan
diproses	di proses
menunjang	men tunjang
rakyatnya	rakyat nya
mengucap	men ucap
sebagian	sebagian
sangsi	sangsi
plastik	plastik
gabus	gabus
penegakan	pen tegak an
periklanan	per iklan an
batu	batu
instansi	instansi
menyentuhnya	men sentuh nya
bertransaksi	ber transaksi
potensial	potensial
memikul	men pikul
asing	asing
yakub	yakub
kontraktornya	kontraktor nya
pundak	pundak
ciuman	cium an
memproduksinya	men produksi nya
pundi	pundi
tertempel	ter tempel
selembar	se lembar
dibahas	di bahas
digodok	di godok
kupon	kupon
bersandarkan	ber sandar kan
mengklasifikasikan	men klasifikasi kan
krisis	krisis
implementasinya	implementasi nya
terancam	ter ancam
selang	selang
pelanggan	pen langgan
nyawanya	nyawa nya
taksiran	taksir an
perantara	perantara
membawa	men bawa
independen	independen
menanti	menanti
pemanis	pen manis
direktorat	direktorat
mencobai	men coba i
bertahan	ber tahan
indahnya	indah nya
aktif	aktif
pelarangan	pen larang an
panggang	panggang
dll	dll
beroperasinya	ber operasi nya
pengestimasian	pen estimasi an
terumbu	terumbu
pacarku	pacar ku
merampas	men rampas
tarik	tarik
menyembah	men sembah
didik	didik
pembicaranya	pen bicara nya
ambil	ambil
jari	jari
bebas	bebas
swedia	swedia
diibaratkan	di ibarat kan
figurnya	figur nya
diembankan	di emban kan
arteri	arteri
integritas	integritas
diketuai	di ketua i
kepalamu	kepala mu
dipukuli	di pukul i
asin	asin
membedakan	men beda kan
antagonis	antagonis
diketik	di ketik
meneg	meneg
sisi	sisi
nafsunya	nafsu nya
binasa	binasa
pameran	pamer an
perorangan	per orang an
dibayarkan	di bayar kan
pemekaran	pen mekar an
disentuh	di sentuh
perluasan	per luas an
mengeksploitasi	men eksploitasi
menjauh	men jauh
genggam	genggam
terpercaya	ter percaya
menamai	men nama i
dikompensasikan	di kompensasi kan
rendahnya	rendah nya
sayur	sayur
rajanya	raja nya
dikutip	di kutip
sektarian	sektarian
ditulisi	di tulis i
kuman	kuman
konfirmasi	konfirmasi
bersekolah	ber sekolah
membungkamkan	men bungkam kan
bergema	ber gema
diketahui	di ketahui
israel	israel
cerminan	cermin an
eksklusif	eksklusif
membeberkan	men beber kan
bajaknya	bajak nya
dewan	dewan
brasil	brasil
memformulasikan	men formulasi kan
responsnya	respons nya
bom	bom
menunggang	men tunggang
pergi	pergi
penjamin	pen jamin
sektor	sektor
institusinya	institusi nya
perampokan	pen rampok an
palsu	palsu
melekat	men lekat
dilibatkan	di libat kan
berkeliaran	ber ke liar an
keliling	keliling
pasir	pasir
persendian	per sendi an
bahagiaku	bahagia aku
dikonsentrasikan	di konsentrasi kan
tersisih	ter sisih
keringnya	kering nya
diprovokasi	di provokasi
menerbangkan	men terbang kan
mengelompok	men kelompok
merealisasikannya	men realisasi kan nya
bungkusan	bungkus an
membutuhkannya	men butuh kan nya
memerankan	men peran kan
menghubungkan	men hubung kan
ketik	ketik
menyediakan	men sedia kan
pengiriman	pen kirim an
menginvestigasi	men investigasi
baju	baju
mengenangnya	men kenang nya
kendalikan	kendali kan
jualbeli	jualbeli
didatangi	di datang i
rekan	rekan
sore	sore
memedihkan	men pedih kan
sucikan	suci kan
menyelidiki	men selidik i
permanen	permanen
penandatangan	pen tandatangan
terbelah	ter belah
meloloskan	men lolos kan
kondusif	kondusif
menyambung	men sambung
dicurahkan	di curah kan
paginya	pagi nya
hibah	hibah
tangguh	tangguh
penyeludupan	pen seludup an
menggarisbawahi	men garisbawah i
silam	silam
mengkoordinasi	men koordinasi
aneka	aneka
hatiku	hati ku
pencegahan	pen cegah an
pohonnya	pohon nya
gejolak	gejolak
konsekuensinya	konsekuensi nya
ri	ri
dilatihnya	di latih nya
yakini	yakin i
disediakan	di sedia kan
berdasarkan	ber dasar kan
menyalurkan	men salur kan
jumlah	jumlah
menyanyikan	men nyanyi kan
ikutannya	ikut an nya
meninggalkannya	men tinggal kan nya
perjuangan	per juang an
perselisihan	per selisih an
dijatuhi	di jatuh i
mengubur	men kubur
mengakomodasikan	men akomodasi kan
sedarah	se darah
dipertimbangkan	di per timbang kan
judul	judul
positifnya	positif nya
diekspor	di ekspor
diambilnya	di ambil nya
maksud	maksud
bulanannya	bulan an nya
berdarah	ber darah
petualangan	petualangan
menyederhanakan	men sederhana kan
kedipan	kedip an
senjatanya	senjata nya
bayangan	bayang an
panti	panti
dorongan	dorong an
pertenunan	per tenun an
tersebarnya	ter sebar nya
mengarsipkan	men arsip kan
sulam	sulam
terhampar	ter hampar
umat	umat
digenapi	di genap i
diwujudkan	di wujud kan
menghangatkan	men hangat kan
otoritas	otoritas
pemahaman	pen paham an
stempelnya	stempel nya
diapit	di apit
buntu	buntu
distribusinya	distribusi nya
kriterianya	kriteria nya
penonton	pen tonton
ngomongnya	ngomong nya
kenaikan	ke naik an
tiba	tiba
membebani	men beban i
mahasiswanya	mahasiswa nya
direkrut	di rekrut
kafein	kafein
bayangkan	bayang kan
jeratan	jerat an
jalur	jalur
sungkan	sungkan
terjauh	ter jauh
disangka	di sangka
keluarga	keluarga
memperhitungkan	men hitung kan
mengintervensi	men intervensi
tuan	tuan
dibesarkan	di besar kan
mengurusnya	men urus nya
mempertajam	men tajam
mata	mata
pekerja	pekerja
lingkungannya	lingkung an nya
ditabrakkan	di tabrak kan
berkekurangan	ber ke kurang an
tegar	tegar
bernegara	ber negara
solusi	solusi
seekor	se ekor
darurat	darurat
penyelenggaraan	pen selenggara an
menyeragamkan	men seragam kan
tindak	tindak
melegakan	men lega kan
ringkasannya	ringkas an nya
memegang	men pegang
kreatif	kreatif
dicatat	di catat
mengesampingkan	men kesamping kan
omongnya	omong nya
penebusan	pen tebus an
kotor	kotor
bersertifikat	ber sertifikat
bahtera	bahtera
timur	timur
langit	langit
dikritik	di kritik
singa	singa
ketidakadilan	ke tidak adil an
berhadapan	ber hadap an
lemah	lemah
pemukimannya	pen mukim an nya
tambahan	tambah an
berkesan	ber kesan
terurai	ter urai
jaga	jaga
pembelajaran	pen belajar an
membocorkan	men bocor kan
kecil	kecil
rapi	rapi
tradisional	tradisional
kontrakan	kontrak an
berkomunikasi	ber komunikasi
simbolis	simbolis
tempo	tempo
kudanya	kuda nya
kaca	kaca
terhubung	ter hubung
matriks	matriks
selai	sela i
berdurasi	ber durasi
mengumpulkan	men kumpul kan
dicengkeram	di cengkeram
wewenang	wewenang
menyesal	men sesal
basah	basah
bahasa	bahasa
liberalisasi	liberalisasi
merespons	men respons
dicicil	di cicil
gulung	gulung
dianutnya	di anut nya
ditularkan	di tular kan
kliping	kliping
warganya	warga nya
membawakan	men bawa kan
perbendaharaannya	per bendahara an nya
merenovasi	men renovasi
bersinar	ber sinar
terpangkas	ter pangkas
aktivis	aktivis
transmisi	transmisi
ketidaklayakan	ke tidak layak an
durian	duri an
dijaminkan	di jamin kan
kluster	kluster
arah	arah
melecehkan	men leceh kan
berkhotbah	ber khotbah
bersenjata	ber senjata
matahari	matahari
lewatkan	lewat kan
foto	foto
tebangan	tebang an
terduga	ter duga
ditabur	di tabur
daun	daun
lapaknya	lapak nya
penghitungan	pen hitung an
memperebutkan	men rebut kan
bikin	bikin
disenangi	di senang i
paus	paus
sabuk	sabuk
diperolehnya	di peroleh nya
ketidakpekaan	ke tidak peka an
mendirikan	men diri kan
bawahannya	bawah an nya
turun	turun
dinikahinya	di nikah i nya
kunjung	kunjung
terealisasikan	ter realisasi kan
getah	getah
dicetuskan	di cetus kan
kabut	kabut
upahnya	upah nya
berwibawa	ber wibawa
proses	proses
dipersentasekan	di persentase kan
aktor	aktor
spekulasi	spekulasi
percekcokan	per cekcok an
badan	badan
buahnya	buah nya
terhormat	ter hormat
takarannya	takar an nya
entrinya	entri nya
memberkati	men berkat i
beranggapan	ber anggap an
ditelan	di telan
lanjutan	lanjut an
kuingat	ku ingat
bergemar	ber gemar
komunitasnya	komunitas nya
kedengaran	ke dengar an
tertidur	ter tidur
dicobai	di coba i
khayalan	khayal an
menyulitkan	men sulit kan
menyembuhkan	men sembuh kan
belajarnya	belajar nya
penampilannya	pen tampil an nya
dikepalai	di kepala i
pendamping	pen damping
beternak	beternak
nuklir	nuklir
mengunggah	men unggah
terbaca	ter baca
gitarnya	gitar nya
sutera	sutera
evakuasi	evakuasi
dipersiapkan	di per siap kan
negatifnya	negatif nya
terjatuh	ter jatuh
penjaga	pen jaga
ditempeli	di tempel i
ayahmu	ayah mu
dibangku	di bangku
dividen	dividen
luang	luang
tuna	tuna
poin	poin
berkeberatan	ber ke berat an
induk	induk
korelasi	korelasi
mengeringkan	men kering kan
pegang	pegang
menggelar	men gelar
pertimbangan	per timbang an
bakti	bakti
permohonannya	per mohon an nya
hasilkan	hasil kan
sebanyak	se banyak
nominasi	nominasi
menyikat	men sikat
pelaut	pen laut
mengecil	men kecil
mencercanya	men cerca nya
pegawai	pegawai
menyadarinya	men sadar i nya
mengentaskan	men entas kan
bertepatan	ber tepat an
nonperdagangan	non per dagang an
kerumunan	kerumun an
bilangan	bilang an
teratur	ter atur
memberitahu	men beritahu
mengingkari	men ingkar i
analisis	analisis
katalog	katalog
undi	undi
menyingsingkan	men singsing kan
rumit	rumit
bergereja	ber gereja
pengesahan	pen sah an
berkorelasi	ber korelasi
dikelola	di kelola
insiden	insiden
cangkir	cangkir
administrasi	administrasi
menjejak	men jejak
dijadikannya	di jadi kan nya
keruh	keruh
semata	se mata
kesan	kesan
berkesempatan	ber kesempatan
tarif	tarif
disiasati	di siasat i
surgawinya	surgawi nya
status	status
berburu	ber buru
kamboja	kamboja
perhitungan	per hitung an
meneguhkan	men teguh kan
saing	saing
batinnya	batin nya
kerangka	kerangka
pengkhianatan	pen khianat an
pengeluaran	pen keluar an
makmur	makmur
pembayar	pen bayar
memberitahuku	men beritahu ku
haus	haus
membuka	men buka
anjing	anjing
antarstatus	antar status
kalanya	kala nya
berlangsungnya	ber langsung nya
disalin	di salin
tertawaan	ter tawa an
anonim	anonim
fragmen	fragmen
anggota	anggota
timbangan	timbang an
pencuri	pen curi
ditegaskan	di tegas kan
dititipi	di titip i
berlayar	ber layar
dihidangkan	di hidang kan
halaman	halaman
purnama	purnama
teori	teori
impiannya	impian nya
tugas	tugas
murka	murka
memperkenankan	men kenan kan
memberkatinya	men berkat i nya
menghilangkan	men hilang kan
salinan	salin an
menyasar	men sasar
area	area
menabung	men tabung
cemburu	cemburu
firman	firman
meninjau	men tinjau
memperpanjang	men panjang
keluarganya	keluarga nya
setujui	setuju i
tumpangi	tumpang i
terperosok	terperosok
berdinas	ber dinas
lama	lama
meluluskan	men lulus kan
menanamkan	men tanam kan
ulah	ulah
perakitan	pen rakit an
amanat	amanat
berjarak	ber jarak
pewawancara	pen wawancara
dipantau	di pantau
belokan	belok an
diktenya	dikte nya
pertaruhan	per taruh an
canggih	canggih
kabur	kabur
disebabkan	di sebab kan
sanggup	sanggup
menggandeng	men gandeng
berseberangan	ber seberang an
terpola	ter pola
manis	manis
ditanami	di tanam i
rinciannya	rinci an nya
harumnya	harum nya
minumnya	minum nya
bobotnya	bobot nya
mendokumentasi	men dokumentasi
umum	umum
pengayaan	pen kaya an
gumuli	gumul i
bayaran	bayar an
memilih	men pilih
terpintar	ter pintar
dinyanyikan	di nyanyi kan
semalam	se malam
dihapuskannya	di hapus kan nya
paduan	padu an
menghindarinya	men hindar i nya
melimpahkan	men limpah kan
misteri	misteri
pil	pil
ruangnya	ruang nya
terealisasi	ter realisasi
memperdalam	men dalam
audio	audio
terluka	ter luka
semak	semak
mulia	mulia
harga	harga
merinci	men rinci
menyapa	men sapa
payudara	payudara
pembasmi	pen basmi
sepeda	sepeda
mengagumkan	men kagum kan
penyajian	pen saji an
mengkredit	men kredit
eternit	eternit
pegangannya	pegang an nya
terselenggaranya	ter selenggara nya
negeri	negeri
pergumulan	per gumul an
disembelih	di sembelih
palang	palang
dihadapkan	di hadap kan
gugup	gugup
mukjizat	mukjizat
ekspor	ekspor
relatif	relatif
penggantian	pen ganti an
alat	alat
diantar	di antar
faktor	faktor
meledakkan	men ledak kan
olimpiade	olimpiade
penuntasan	pen tuntas an
mencacah	men cacah
mengulurkan	men ulur kan
pukulan	pukul an
nyonya	nyonya
dijual	di jual
diamati	di amati
periksa	periksa
akurat	akurat
terekam	ter rekam
suplemen	suplemen
diaudit	di audit
menyingkapkan	men singkap kan
bernaung	ber naung
tukar	tukar
penggalangan	pen galang an
menaruhnya	men taruh nya
terwakili	ter wakil i
kandungannya	kandung an nya
dipersoalkan	di per soal kan
mengunjungi	men kunjung i
dipegang	di pegang
tangga	tangga
berakhirnya	ber akhir nya
berbenturan	ber bentur an
biola	biola
tabungan	tabung an
kabupaten	kabupaten
merevisi	men revisi
mahkamah	mahkamah
ruangan	ruang an
merekonstruksi	men rekonstruksi
efek	efek
hambatannya	hambat an nya
rodanya	roda nya
paruh	paruh
melaluinya	men lalu i nya
melibatkan	men libat kan
sesuatunya	sesuatu nya
sel	sel
kadarnya	kadar nya
dibalik	di balik
dukungannya	dukung an nya
dipotong	di potong
adegan	adegan
penegasan	pen tegas an
budak	budak
bersamaan	ber sama an
invasi	invasi
sesamanya	se sama nya
selesainya	selesai nya
berharga	ber harga
jenjang	jenjang
substansinya	substansi nya
membongkar	men bongkar
antariksa	antariksa
persepsi	persepsi
dicoret	di coret
pencocokan	pen cocok an
terabaikannya	ter abai kan nya
menjawab	men jawab
tinggalkan	tinggal kan
rutinitas	rutinitas
memasarkannya	men pasar kan nya
bersaing	ber saing
pamannya	paman nya
pencipta	pen cipta
operasi	operasi
pabrikan	pabrik an
rela	rela
diluncurkan	di luncur kan
wanita	wanita
kritikus	kritikus
dimodifikasi	di modifikasi
efektivitasnya	efektivitas nya
rekomendasi	rekomendasi
kokpitnya	kokpit nya
galian	gali an
gunting	gunting
mutu	mutu
piranti	piranti
santunku	santun ku
bermuara	ber muara
rasial	rasial
informasinya	informasi nya
sintesis	sintesis
sesederhana	se sederhana
eksekusinya	eksekusi nya
diterjemahkan	di terjemah kan
pengetikan	pen ketik an
penerjemah	pen terjemah
pengasapan	pen asap an
dikabulkan	di kabul kan
simak	simak
melainkan	men lain kan
direnovasi	di renovasi
ibadah	ibadah
angkat	angkat
menoleransinya	men toleransi nya
berkomentar	ber komentar
penuntutan	pen tuntut an
artikel	artikel
diperkenalkannya	di per kenal kan nya
bertuliskan	ber tulis kan
diakibatkan	di akibat kan
meresponnya	men respon nya
gembiranya	gembira nya
berimbangnya	ber imbang nya
menyarankan	men saran kan
didelegasikan	di delegasi kan
napasnya	napas nya
diinginkannya	di ingin kan nya
sesuai	sesuai
memetik	men petik
penerima	pen terima
membekaskan	men bekas kan
berandil	ber andil
waktunya	waktu nya
ongkosnya	ongkos nya
jahit	jahit
rambutku	rambut ku
berimbang	ber imbang
menolak	men tolak
berfikir	ber fikir
dihindarinya	di hindar i nya
rak	rak
ambivalen	ambivalen
bayarkan	bayar kan
berobat	ber obat
ketidakadaan	ke tidak ada an
sumatera	sumatera
dikuatirkan	di kuatir kan
membesar	men besar
tersiar	ter siar
aus	aus
cakupan	cakup an
prakteknya	praktek nya
pengelolaan	pen kelola an
mengisolasi	men isolasi
kutukan	kutuk an
riang	riang
pengangsuran	pen angsur an
terkaya	ter kaya
supir	supir
april	april
ambisi	ambisi
pasiennya	pasien nya
cepat	cepat
diusahakan	di usaha kan
komunis	komunis
bulanan	bulan an
melihat	men lihat
salad	salad
dibuat	di buat
santri	santri
mempesona	men pesona
dianggapnya	di anggap nya
penjaminnya	pen jamin nya
menonjolkan	men tonjol kan
pendamai	pen damai
ketua	ketua
tumbuh	tumbuh
arif	arif
sempurna	sempurna
menekuni	men tekun i
perpisahannya	per pisah an nya
respon	respon
beroperasi	ber operasi
memperbincangkan	men bincang kan
partikel	partikel
terhentinya	ter henti nya
lengkap	lengkap
artis	artis
jalar	jalar
dipertahankan	di per tahan kan
sesempurna	se sempurna
memacunya	men pacu nya
profesional	profesional
memperdulikan	men perduli kan
disebutkan	di sebut kan
lidahnya	lidah nya
suratnya	surat nya
mengindikasikan	men indikasi kan
penampungan	pen tampung an
operator	operator
penahanan	pen tahan an
diingatkan	di ingat kan
fleksibilitas	fleksibilitas
menggairahkan	men gairah kan
ditempat	di tempat
melipat	men lipat
presiden	presiden
rintangannya	rintang an nya
menyampaikan	men sampai kan
waduk	waduk
ampas	ampas
perhatiannya	per hati an nya
dirujuk	di rujuk
ceroboh	ceroboh
dipajang	di pajang
komoditi	komoditi
pernafasan	per nafas an
kawan	kawan
memukuli	men pukul i
penentu	pen tentu
tercantum	ter cantum
jadwalku	jadwal ku
warga	warga
dikucilkan	di kucil kan
menunggak	men tunggak
dilaluinya	di lalu i nya
berhimpitan	ber himpit an
merehabilitasi	men rehabilitasi
personelnya	personel nya
menghargainya	men harga i nya
muramku	muram ku
memprakirakan	men prakira kan
beragamnya	ber ragam nya
kedudukannya	ke duduk an nya
pendistribusi	pen distribusi
membekas	men bekas
rate	rate
berpasir	ber pasir
afrika	afrika
renovasi	renovasi
uluran	ulur an
ayahku	ayah ku
diskualifikasi	diskualifikasi
mobilitas	mobilitas
penggantinya	pen ganti nya
bersalin	ber salin
anu	anu
menuduhnya	men tuduh nya
subjektivitas	subjektivitas
pencari	pen cari
bir	bir
menganalisis	men analisis
pahitnya	pahit nya
aktifitasnya	aktifitas nya
antarorangtua	antar orangtua
menikah	men nikah
pengantar	pen antar
lapar	lapar
mengorganisasikan	men organisasi kan
pikiran	pikir an
keeratan	ke erat an
juru	juru
dicapai	di capai
penjahitan	pen jahit an
variasi	variasi
persoalan	per soal an
disampaikan	di sampai kan
menimpa	men timpa
dikontraknya	di kontrak nya
menggerus	men gerus
terlindung	ter lindung
terinspirasi	ter inspirasi
rencana	rencana
pihak	pihak
besi	besi
penghasilannya	pen hasil an nya
restorasi	restorasi
peternakannya	peternakan nya
lengkung	lengkung
mengetuk	men ketuk
rukun	rukun
untungnya	untung nya
memikat	men pikat
sengsara	sengsara
fakir	fakir
ketidaksetujuan	ke tidak setuju an
lelakinya	lelaki nya
sasaran	sasar an
pengenal	pen kenal
ditimbulkannya	di timbul kan nya
bermuatan	ber muat an
bermilik	ber milik
bereaksi	ber reaksi
allah	allah
takutnya	takut nya
komitmen	komitmen
pertunangan	per tunang an
memprihatinkan	men prihatin kan
gugatan	gugat an
takutkan	takut kan
diberitakan	di berita kan
prinsip	prinsip
detik	detik
pemerannya	pen peran nya
lapak	lapak
relaksasi	relaksasi
kemunduran	ke mundur an
lesunya	lesu nya
sombong	sombong
ketetapan	ke tetap an
disejajarkan	di sejajar kan
mendiversifikasi	men diversifikasi
penyedia	pen sedia
berkenaan	ber kena an
berdaya	ber daya
pudar	pudar
olokan	olok an
memulihkan	men pulih kan
terampuh	ter ampuh
pemuatan	pen muat an
pengkoordinasian	pen koordinasi an
tingkatnya	tingkat nya
gugur	gugur
membedah	men bedah
persebaran	per sebar an
terlantar	terlantar
daratannya	darat an nya
pembuangan	pen buang an
isu	isu
menancapkan	men tancap kan
ujung	ujung
penggunaannya	pen guna an nya
roda	roda
pergolakan	per golak an
kuasa	kuasa
menghujat	men hujat
dimanfaatkan	di manfaat kan
anti	anti
berkabung	berkabung
pilihnya	pilih nya
melumpuhkan	men lumpuh kan
penambangan	pen tambang an
observasi	observasi
pemain	pen main
rendah	rendah
mulutnya	mulut nya
pengirim	pen kirim
turunannya	turun an nya
pendaratan	pen darat an
menyalahgunakannya	men salahguna kan nya
dokternya	dokter nya
derajat	derajat
mendebarkan	men debar kan
berkesusahan	ber ke susah an
menumpuk	men tumpuk
